"LAVESInumber" "01-LAGM" "02-LASI" "03-LACA" "04-PIOB" "05-PISY" "06-PISI" "07-BEPE" "08-LALA" "09-PIGL" "10-PIMA" "11-BEPA" "12-POTR" "13-POBA" "14-PICO" "15-LALA" "16-BENE" "17-TSME" "18-PIMA" "19-PISI" "20-PIGL" "21-POTR" "22-POBA"
2049 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2050 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2051 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2052 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2053 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2054 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2055 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 0 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2056 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2057 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2058 999999 999999 999999 999999 999999 999999 999999 700 0 0 700 0 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2059 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2060 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2061 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2062 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 700 0 999999 999999 999999 999999 999999 999999 999999 999999
2063 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 0 999999 999999 999999 999999 999999 999999 999999 999999
2064 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2065 999999 999999 999999 999999 999999 999999 999999 700 0 0 0 700 700 0 999999 999999 999999 999999 999999 999999 999999 999999
2066 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2067 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2068 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2069 999999 999999 999999 999999 999999 999999 999999 0 0 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2070 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2071 999999 999999 999999 999999 999999 999999 999999 700 0 0 700 700 0 700 999999 999999 999999 999999 999999 999999 999999 999999
2072 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2073 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2074 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2075 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
