"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
0 8.3 10.9 6.2 5.2 7.4 49.6 22.2 35.9 12.2 10.6 5.3
16.1 6.6 2.6 13.4 2.6 30.8 18.4 37.9 52.2 15.2 10 17.7
17 13.8 1.7 9.6 3.6 11.9 46.6 30.9 6.8 24.2 18.5 24.8
15.4 22.1 2.7 6.9 18.2 39.5 40.3 8.5 29.7 8.1 29.2 27.1
0 6.4 6.3 12.3 10.6 56 17.2 44.3 32.2 13 21.8 16.5
0 3.4 14.3 6.1 17 57.3 41.6 0 21.3 44.3 11.6 21.8
0 3.7 15.7 21.3 14.1 27.5 45 58.8 10.2 29.9 11.9 16.1
17.5 22.8 0 15.2 18.1 45.8 84.7 40.9 14 32.5 13.6 0
13 2.8 4.3 12.6 22.5 64.9 24.8 32 16.6 35.1 23.1 0
18.6 7 0 3.1 21.7 50.2 0 44.9 32.1 43.9 25.3 0
2.8 3.6 6.6 7.6 5.5 20.6 20.9 46.2 19.9 20 19 5.6
14 2.5 3.7 7.2 10.8 34.1 21.4 38.9 31.9 24.9 17.9 16.9
11.9 10.9 12.9 14.9 17.9 34.9 34.9 43.2 34.1 24.9 17.9 16.9
11.9 10.7 12.9 14.9 17.9 34.9 34.9 38.9 31.9 25.2 10.5 13.6
11.3 7.2 2.4 4 8.2 31.6 9.2 24.1 25.3 21.6 13.6 13.5
4.4 6.5 3.6 2.7 7.6 26.9 133.5 21.6 4.7 18.4 8.9 4.9
5.8 9.3 1.7 2.8 5.2 34.9 89.7 35.6 15.3 17.5 9.1 4.9
0.6 3.7 2.7 3.7 14 70.1 31.4 31.3 25.4 37.2 13.4 23.9
13.9 2.2 2.7 3.5 3.2 14.6 33.8 72.2 14.1 17.9 5.6 3.3
3.6 6.3 4.1 3.5 4.5 15.6 34.8 49.6 16.9 10.9 4.8 5.8
4.3 6.6 6.2 2.7 3.3 41.3 34.2 121.8 56.2 14.8 6.1 16.2
10.6 5.7 7.7 14.3 16.8 40.1 106.2 27.8 33.5 21.3 6.7 2.8
0.4 5.4 2.3 19.3 16.1 46.7 52.8 49.3 33.5 31.4 15.5 0.6
30.7 21.1 2.9 8 13.7 36.2 79.9 62.5 40.5 14.7 5.6 9.4
5.6 6.9 1.8 6.5 16.7 23 20.3 72.6 44.9 10.4 3.7 3.7
11.9 4.9 5.2 8.5 22.4 30.7 27.7 75.7 41.7 43.4 22.3 14.7
13.1 15.1 8.4 5.9 34.3 23.1 33.6 64.4 25.1 18.2 9.2 20.9
4.4 8.1 9.6 17.6 11.1 35.8 20.7 38.2 37 13.9 14.2 9.8
3.8 3 2.8 5.9 11 46.6 31.8 40.7 22.7 22.6 4.4 7.2
9.1 5.3 2.7 5.2 18.7 11.1 30.5 39.4 21.2 24.2 7.6 3.2
4.5 5.6 9.1 4.3 12.8 20.4 31.6 20.8 12.8 21.8 9.2 18.1
3.9 5.6 4.5 2.2 4.2 69.3 43.9 28.9 10.6 31.7 16.5 9.6
7 1.3 2.4 2.9 8.5 26 61 67.1 13.5 16.2 10.4 5.9
4.9 6.3 2.7 5.1 8.3 27.8 65.5 81 30.6 13.6 8.8 5.6
2 5.8 3.6 6.8 9 3.8 43.9 55.9 17.9 18.1 52 37.4
13.1 21.6 22.5 8.6 12.7 32 42.5 30.4 17.4 24.4 18.7 12.5
18.8 2.1 2.3 7.8 5.9 7.2 37.2 31.1 24.6 16.8 7.8 13.9
6.4 14 5.2 4.5 5.5 40.1 17.2 15.6 14.6 7.1 13.9 10
11.8 2.7 8.7 13.3 13.5 10.7 25.9 14.3 41.1 7.8 3 9.7
10.3 9.5 2.7 7.3 15.9 25.6 12 63.5 27.7 16.6 4.4 7.2
6.9 13.4 9.7 8.6 4.9 24.6 6.7 13.1 30.5 12.1 17.1 20.3
6 5.9 6.3 4.8 5.2 76 96.9 60.1 35.8 15.8 12.7 27.7
7.8 6.6 20.7 9.5 22 21.8 53 7.9 35.8 29.9 12.3 3.4
19.4 15 14.3 17 17.3 24 21.2 21 23.4 21.8 8.3 5.5
8.2 19.3 15.1 11.1 13.1 11.8 57.8 23.9 17.9 24.8 29.5 16
9.7 28 20.5 7.6 24.6 78 23.4 28.9 28.7 34.4 7 23.7
20.5 2.9 13.8 9 12.1 59.2 26 21.6 31.8 22.2 6.2 16.1
14 10.3 6.7 15.3 36.2 57.2 23.9 65.2 45.2 25.6 22.6 29.1
17.4 16.6 13.4 18.4 11.3 15.1 11.8 49.6 39 23 37.5 24.3
6.5 8.8 21.5 16.5 8.8 32.2 62.4 48.1 23.5 35.7 5.7 39.3
10.4 15.2 7.6 11.9 12.7 41.9 29.7 19.5 29.2 11.6 20.9 26.9
10.2 1.5 9.8 6.3 18.3 39.1 74.9 27.6 46.3 37 23.5 15
11 2.3 20.4 7.9 16.3 15.9 60.7 16.8 30.5 35.1 33.2 32.6
18.4 7.9 2 26.7 15.2 3.3 51.9 29.5 25.4 23.2 9.1 16.2
25.3 27.3 13.9 6.1 17.2 26 71.7 17.2 47.3 32.5 10.2 9.5
7 17.5 16.3 10.3 22.1 30.5 49.1 49.8 13.2 49.9 9.2 20.7
7 10.2 7 17.3 27.6 29.9 34.7 12.4 36 24.6 16.9 24
8.2 9 9.7 8.1 14.1 26.3 25.8 23 51.2 18.2 21.4 17.3
11.1 5.6 5.3 39.4 16.5 69.1 54.7 23 19.2 10.7 16.5 7.8
6.5 15.2 7.6 5 11 9.4 18.7 23.9 28.1 13.3 17.4 3
3.7 9.6 2.4 3.5 8.7 18.7 11.9 21 39.3 15 18.2 17.1
6.6 9.7 9.8 7 27.7 47.6 8.6 49.7 45.8 51.2 3.7 8.3
18.6 10.4 16.8 20.5 13.7 46.3 52 22.8 24.6 37.3 16.1 26
4 10.7 7.6 21.5 3.3 51.1 40.9 8.7 51.9 28.4 3.6 14.1
15.3 8 8 9.3 16.6 11.1 34.8 60.5 27.4 8.9 20.7 13.6
