"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
-32.1 -35.1 -30 -14.3 -2.6 6.2 11.8 7.5 1.1 -17.3 -28.4 -31.2
-37.7 -30.2 -31 -20.1 -7.9 6.6 14.3 11.3 1.7 -8.8 -20.3 -37.3
-41.1 -43.5 -32.2 -19.8 -8.6 10.3 16.1 9.8 1.4 -14.9 -28.5 -28.9
-33.1 -28.3 -29.3 -16 -5.9 2.8 12.8 12 2.4 -7.4 -31.2 -29.4
-19.8 -30.7 -26.8 -15.2 -9.6 5.6 10.9 10.7 -0.1 -13.2 -19.6 -28.8
-35.7 -27.9 -30.1 -14.6 -8.6 4.1 11.8 11.9 2 -17.6 -31.9 -29.1
-29.7 -28.6 -24.2 -20.3 -6.8 7.2 11.3 11.6 3.9 -9.3 -18.3 -30.1
-26.1 -30.7 -25.2 -22.9 -7.3 6.9 18.6 8.7 3.2 -10.6 -26.2 -28.7
-33.8 -31.2 -26.2 -17.5 -7.9 8.4 12 9 3.2 -10 -20.5 -29.1
-32.5 -28.3 -28.1 -20 -7.2 3.6 15 8.8 1.2 -9.2 -20.5 -33.4
-39.9 -34.1 -29.7 -16.6 -6.3 1.5 13.2 10 2.4 -10.8 -27.1 -32.3
-26.9 -30.3 -25.8 -22 -4.5 8.1 11 9.1 3.2 -12.3 -23.7 -18.9
-31.2 -26 -22.1 -18.2 -4.4 1.7 9.7 7.4 -0.4 -12.3 -30.7 -26.5
-35.1 -29.7 -18 -11 -4.1 10.9 13.2 9 3.5 -12.7 -31.2 -31.7
-34.8 -36.4 -27.4 -15.7 -5.9 4.2 14.8 9.1 5.1 -12.3 -20.7 -26.8
-31.4 -32.6 -25.7 -19.7 -4.9 3.3 11.3 9.2 -0.8 -19 -26.4 -29.6
-26.1 -29.4 -22.1 -17.2 -6.4 6.6 8.4 9.2 3 -12.9 -21.5 -29.3
-37 -36.2 -21.2 -18.4 -6 4.7 13.7 7.6 1.1 -7.3 -25.6 -26.8
-31.3 -24.4 -23.3 -15 -8 4.9 13.6 12.2 1.2 -11 -26.3 -30.5
-33.6 -24.7 -22.8 -17.7 -6.6 2.4 14.2 8.5 -1.6 -11.1 -17.9 -34.4
-32.2 -34.8 -24.7 -8 -2.1 6.4 14 8.4 4.5 -5.7 -27.8 -33
-32.9 -34.8 -23.4 -18.7 -7.3 6 12.2 12.5 -1.5 -18.8 -28.9 -29.8
-33.5 -23 -30.7 -17.5 -3.8 7 13.1 9.5 1.6 -12.5 -23.1 -25.5
-31.1 -27.4 -26.3 -15.4 -3.8 5.4 13.5 12.9 1.3 -13.4 -26.4 -35.7
-38 -33.4 -28.3 -22.6 -3.8 10.9 15.2 11.2 2.9 -11.7 -16 -23.7
-39.1 -33.6 -20.2 -19.1 -8.5 10.7 14.3 12 -1.2 -12.3 -24.6 -31.3
-28.8 -35.9 -24.9 -15.1 -3.6 9 11.6 11.1 4.8 -11 -28.4 -24.2
-35.1 -37 -32.6 -17.4 -7.3 4.1 12.2 8.3 2.7 -12.2 -22.1 -28
-26.6 -28.7 -26.5 -16 -2.6 8.6 12.7 7.3 5.1 -10.6 -22.8 -26.2
-28.3 -25.3 -26.1 -21.2 -5.9 6.5 16.1 8.5 1.3 -13.3 -22.7 -24.8
-25 -41 -25.2 -5.1 -6.1 6.8 12.2 9.6 2.8 -7 -25.5 -30.7
-24.4 -31.4 -28.4 -15.9 -2.8 6.6 10.9 10.7 3.3 -7.7 -21.7 -28.6
-23.7 -34.3 -28.7 -12.5 -5.2 8.4 14.9 9.9 4.7 -6.7 -22 -34.9
-28.5 -34.6 -23.8 -13.2 -1 8.7 12.9 10.1 1.6 -10.6 -20.8 -31.7
-25.4 -32.4 -16.7 -10 -1.3 8.7 13.5 11.6 4.7 -8.6 -21.4 -23.2
