"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
-33 -36 -30.9 -15.2 -3.5 5.3 10.9 6.6 0.2 -18.2 -29.3 -32.1
-38.6 -31.1 -31.9 -21 -8.8 5.7 13.4 10.4 0.8 -9.7 -21.2 -38.2
-42 -44.4 -33.1 -20.7 -9.5 9.4 15.2 8.9 0.5 -15.8 -29.4 -29.8
-34 -29.2 -30.2 -16.9 -6.8 1.9 11.9 11.1 1.5 -8.3 -32.1 -30.3
-20.7 -31.6 -27.7 -16.1 -10.5 4.7 10 9.8 -1 -14.1 -20.5 -29.7
-36.6 -28.8 -31 -15.5 -9.5 3.2 10.9 11 1.1 -18.5 -32.8 -30
-30.6 -29.5 -25.1 -21.2 -7.7 6.3 10.4 10.7 3 -10.2 -19.2 -31
-27 -31.6 -26.1 -23.8 -8.2 6 17.7 7.8 2.3 -11.5 -27.1 -29.6
-34.7 -32.1 -27.1 -18.4 -8.8 7.5 11.1 8.1 2.3 -10.9 -21.4 -30
-33.4 -29.2 -29 -20.9 -8.1 2.7 14.1 7.9 0.3 -10.1 -21.4 -34.3
-40.8 -35 -30.6 -17.5 -7.2 0.6 12.3 9.1 1.5 -11.7 -28 -33.2
-27.8 -31.2 -26.7 -22.9 -5.4 7.2 10.1 8.2 2.3 -13.2 -24.6 -19.8
-32.1 -26.9 -23 -19.1 -5.3 0.8 8.8 6.5 -1.3 -13.2 -31.6 -27.4
-36 -30.6 -18.9 -11.9 -5 10 12.3 8.1 2.6 -13.6 -32.1 -32.6
-35.7 -37.3 -28.3 -16.6 -6.8 3.3 13.9 8.2 4.2 -13.2 -21.6 -27.7
-32.3 -33.5 -26.6 -20.6 -5.8 2.4 10.4 8.3 -1.7 -19.9 -27.3 -30.5
-27 -30.3 -23 -18.1 -7.3 5.7 7.5 8.3 2.1 -13.8 -22.4 -30.2
-37.9 -37.1 -22.1 -19.3 -6.9 3.8 12.8 6.7 0.2 -8.2 -26.5 -27.7
-32.2 -25.3 -24.2 -15.9 -8.9 4 12.7 11.3 0.3 -11.9 -27.2 -31.4
-34.5 -25.6 -23.7 -18.6 -7.5 1.5 13.3 7.6 -2.5 -12 -18.8 -35.3
-33.1 -35.7 -25.6 -8.9 -3 5.5 13.1 7.5 3.6 -6.6 -28.7 -33.9
-33.8 -35.7 -24.3 -19.6 -8.2 5.1 11.3 11.6 -2.4 -19.7 -29.8 -30.7
-34.4 -23.9 -31.6 -18.4 -4.7 6.1 12.2 8.6 0.7 -13.4 -24 -26.4
-32 -28.3 -27.2 -16.3 -4.7 4.5 12.6 12 0.4 -14.3 -27.3 -36.6
-38.9 -34.3 -29.2 -23.5 -4.7 10 14.3 10.3 2 -12.6 -16.9 -24.6
-40 -34.5 -21.1 -20 -9.4 9.8 13.4 11.1 -2.1 -13.2 -25.5 -32.2
-29.7 -36.8 -25.8 -16 -4.5 8.1 10.7 10.2 3.9 -11.9 -29.3 -25.1
-36 -37.9 -33.5 -18.3 -8.2 3.2 11.3 7.4 1.8 -13.1 -23 -28.9
-27.5 -29.6 -27.4 -16.9 -3.5 7.7 11.8 6.4 4.2 -11.5 -23.7 -27.1
-29.2 -26.2 -27 -22.1 -6.8 5.6 15.2 7.6 0.4 -14.2 -23.6 -25.7
-25.9 -41.9 -26.1 -6 -7 5.9 11.3 8.7 1.9 -7.9 -26.4 -31.6
-25.3 -32.3 -29.3 -16.8 -3.7 5.7 10 9.8 2.4 -8.6 -22.6 -29.5
-24.6 -35.2 -29.6 -13.4 -6.1 7.5 14 9 3.8 -7.6 -22.9 -35.8
-29.4 -35.5 -24.7 -14.1 -1.9 7.8 12 9.2 0.7 -11.5 -21.7 -32.6
-26.3 -33.3 -17.6 -10.9 -2.2 7.8 12.6 10.7 3.8 -9.5 -22.3 -24.1
