number species area conage seedflightrate seedtravelbreeze seeddescent distanceratio seedprodfactor germinationrate germinationweatherinfluence gdbasalfacq gdbasalfac gdbasalconst gdbreastfacq gdbreastfac gdbreastconst dbasalheightalloslope dbasalheightalloexp dbreastheightalloslope dbreastheightalloexp dbasalheightslopenonlin dbreastheightslopenonlin heightloga heightlogb heightlogc mortbg maximumage mortage mortyouth mortyouthinfluenceexp mgrowth mdensity densityvaluemaximumatheight mweather heightweathermorteinflussexp mwindthrow mdrought seedconemort seedfloormort seedmaxage janthresholdtemp janthresholdtempcalcvalue weathervariablea weathervariableb weathervariablec weathervariabled minactivelayer minsoilwater maxsoilwater rootingdepth relbarkthickness resprouting biomassleafbase biomassleaffaca biomassleaffacb biomasswoodbase biomasswoodfaca biomasswoodfacb lightdemand spg
12 JUCO 1 2 0.8 4.513817527 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 5 -38.11132927 6.6 1 34.40000153 0 1 100 4.4 31.6 100 2 0 -2.167 1.295 0 -2.645 1.654 0 2 0.6
13 JUCN 1 2 0.8 128.9662151 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 40 -18.65042589 6.6 1 22.37999956 0 1 180 2.8 44.2 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 2 0.6
14 JUFP 1 2 0.8 77.37972904 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -18.02799971 6.6 1 32.09999847 0 1 180 1.2 68.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 2 0.6
15 JUIN 1 2 0.8 64.48310753 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -17.49554166 6.6 1 25.63899939 0 1 180 2.6 42.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 2 0.6
16 JUKO 1 2 0.8 32.24155377 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -11.63400996 6.6 1 17.37769776 0 1 180 2.8 59.2 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
17 JUMI 1 1.5 0.8 64.48310753 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -16.62899931 6.6 1 23.3359997 0 1 180 1.2 68.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 2 0.6
18 JUPI 1 1.5 0.8 64.48310753 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -16.62899931 6.6 1 23.3359997 0 1 180 2.8 50.1 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 2 0.6
19 JUPR 1 1.5 0.8 64.48310753 0.430776041 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 30 -16.62899931 6.6 1 23.3359997 0 1 180 1.2 68.8 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
20 JURE 1 1.5 0.8 73.58091558 0.377513348 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 20 -16.75500031 6.6 1 23.39899961 0 1 180 2.7 37.6 0 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
21 JURI 1 1.5 0.8 48.33046972 0.574746696 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 8.632151 2.596377 2.512389 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 30 -16.62899931 6.6 1 23.3359997 0 1 70 1.2 68.8 70 2 0.01 -2.167 1.295 0 -2.645 1.654 0 1 0.6
