"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
4.5 9.3 30.2 9.1 27.1 35.7 23.1 16.3 5.6 45.7 51.2 16.1
17.4 14.5 13.9 10.2 5.5 38.9 44.9 47.9 85 33.1 9.1 24.2
5.6 5.4 22 30.7 16.8 28.3 54.3 59 45 21.3 17.3 11.5
7.3 7.8 21 28.1 22.5 32.7 37 43.2 1.1 23.7 5.5 23.2
3.1 9.1 9.5 27.8 24.5 12.2 58 79.8 8 24.3 24.4 12.3
9.9 7.1 25.5 7.5 22.2 36 27.3 20.7 24.7 31.4 9.7 23.5
37.1 18.9 25.4 18.1 15 29 58.2 47 18.4 16.3 20.4 32.7
6.1 4.3 9.7 11.3 21.9 24.4 49.6 92.8 33.5 45.6 16.6 11
18.1 16.5 8.9 12.6 11.6 51.3 74.6 16.8 24.9 18 11.9 8.9
21.4 30 21.1 5.2 34 10.8 66.9 49.4 19.4 17.7 26.6 8.6
4.5 3.3 4.7 16.2 17.4 35.3 12.1 47.4 20.1 24.8 13.3 14.5
3.4 9.8 15.3 9.6 8.3 5 82.4 39.5 34.7 15.2 10.9 7.8
7.4 17.6 6.4 5.5 7.1 43.1 43.2 78.5 48.9 42.3 34.5 12.8
14.2 5.4 8.2 11.1 17.3 93.5 24.5 3.8 14.4 37.7 17.2 4.6
3.4 8.9 3.7 16.4 1.8 14.2 27.3 13.7 27.3 13.3 25.5 32.4
1.4 12.6 10.7 19.7 23.3 2.5 53.6 13.2 54.3 18.4 26.6 14.9
9.1 8.1 16.1 24.1 12.1 3.1 13.1 27.1 9.1 66.1 24.1 49.1
16.1 7.1 6.1 11.1 6.1 22.1 44.1 50.1 37.1 24.1 18.1 14.1
13.1 6.1 12.1 9.1 13.1 15.1 38.1 37.1 21.1 35.1 16.1 11.1
17.1 23.1 8.1 17.6 27.1 5.1 44.1 64.1 46.1 29.1 48.1 15.1
24.1 8.1 9.1 8.1 36.1 13.1 53.1 81.1 24.1 33.1 24.1 11.1
31.1 13.1 11.1 8.1 13.1 46.1 28.1 32.1 25.1 34.1 22.1 32.1
20.1 9.1 19.1 18.1 9.1 13.1 51.1 37.1 50.1 16.1 25.1 7.1
40.1 5.1 4.1 8.1 17.1 65.1 37.1 45.1 31.1 48.1 36.1 16.1
39.1 17.1 22.1 12.1 7.1 26.1 61.1 36.1 34.1 32.1 17.1 18.1
