"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
0.9 9.3 11.9 7.2 6.2 8.4 50.6 23.2 36.9 13.2 11.6 6.3
17.1 7.6 3.6 14.4 3.6 31.8 19.4 38.9 53.2 16.2 11 18.7
18 14.8 2.7 10.6 4.6 12.9 47.6 31.9 7.8 25.2 19.5 25.8
16.4 23.1 3.7 7.9 19.2 40.5 41.3 9.5 30.7 9.1 30.2 28.1
0.9 7.4 7.3 13.3 11.6 57 18.2 45.3 33.2 14 22.8 17.5
0.9 4.4 15.3 7.1 18 58.3 42.6 0.9 22.3 45.3 12.6 22.8
0.9 4.7 16.7 22.3 15.1 28.5 46 59.8 11.2 30.9 12.9 17.1
18.5 23.8 0.9 16.2 19.1 46.8 85.7 41.9 15 33.5 14.6 0.9
14 3.8 5.3 13.6 23.5 65.9 25.8 33 17.6 36.1 24.1 0.9
19.6 8 0.9 4.1 22.7 51.2 0.9 45.9 33.1 44.9 26.3 0.9
3.8 4.6 7.6 8.6 6.5 21.6 21.9 47.2 20.9 21 20 6.6
15 3.5 4.7 8.2 11.8 35.1 22.4 39.9 32.9 25.9 18.9 17.9
12.9 11.9 13.9 15.9 18.9 35.9 35.9 44.2 35.1 25.9 18.9 17.9
12.9 11.7 13.9 15.9 18.9 35.9 35.9 39.9 32.9 26.2 11.5 14.6
12.3 8.2 3.4 5 9.2 32.6 10.2 25.1 26.3 22.6 14.6 14.5
5.4 7.5 4.6 3.7 8.6 27.9 134.5 22.6 5.7 19.4 9.9 5.9
6.8 10.3 2.7 3.8 6.2 35.9 90.7 36.6 16.3 18.5 10.1 5.9
1.6 4.7 3.7 4.7 15 71.1 32.4 32.3 26.4 38.2 14.4 24.9
14.9 3.2 3.7 4.5 4.2 15.6 34.8 73.2 15.1 18.9 6.6 4.3
4.6 7.3 5.1 4.5 5.5 16.6 35.8 50.6 17.9 11.9 5.8 6.8
5.3 7.6 7.2 3.7 4.3 42.3 35.2 122.8 57.2 15.8 7.1 17.2
11.6 6.7 8.7 15.3 17.8 41.1 107.2 28.8 34.5 22.3 7.7 3.8
1.4 6.4 3.3 20.3 17.1 47.7 53.8 50.3 34.5 32.4 16.5 1.6
31.7 22.1 3.9 9 14.7 37.2 80.9 63.5 41.5 15.7 6.6 10.4
6.6 7.9 2.8 7.5 17.7 24 21.3 73.6 45.9 11.4 4.7 4.7
12.9 5.9 6.2 9.5 23.4 31.7 28.7 76.7 42.7 44.4 23.3 15.7
14.1 16.1 9.4 6.9 35.3 24.1 34.6 65.4 26.1 19.2 10.2 21.9
5.4 9.1 10.6 18.6 12.1 36.8 21.7 39.2 38 14.9 15.2 10.8
4.8 4 3.8 6.9 12 47.6 32.8 41.7 23.7 23.6 5.4 8.2
10.1 6.3 3.7 6.2 19.7 12.1 31.5 40.4 22.2 25.2 8.6 4.2
5.5 6.6 10.1 5.3 13.8 21.4 32.6 21.8 13.8 22.8 10.2 19.1
4.9 6.6 5.5 3.2 5.2 70.3 44.9 29.9 11.6 32.7 17.5 10.6
8 2.3 3.4 3.9 9.5 27 62 68.1 14.5 17.2 11.4 6.9
5.9 7.3 3.7 6.1 9.3 28.8 66.5 82 31.6 14.6 9.8 6.6
3 6.8 4.6 7.8 10 4.8 44.9 56.9 18.9 19.1 53 38.4
14.1 22.6 23.5 9.6 13.7 33 43.5 31.4 18.4 25.4 19.7 13.5
19.8 3.1 3.3 8.8 6.9 8.2 38.2 32.1 25.6 17.8 8.8 14.9
7.4 15 6.2 5.5 6.5 41.1 18.2 16.6 15.6 8.1 14.9 11
12.8 3.7 9.7 14.3 14.5 11.7 26.9 15.3 42.1 8.8 4 10.7
11.3 10.5 3.7 8.3 16.9 26.6 13 64.5 28.7 17.6 5.4 8.2
7.9 14.4 10.7 9.6 5.9 25.6 7.7 14.1 31.5 13.1 18.1 21.3
7 6.9 7.3 5.8 6.2 77 97.9 61.1 36.8 16.8 13.7 28.7
8.8 7.6 21.7 10.5 23 22.8 54 8.9 36.8 30.9 13.3 4.4
20.4 16 15.3 18 18.3 25 22.2 22 24.4 22.8 9.3 6.5
9.2 20.3 16.1 12.1 14.1 12.8 58.8 24.9 18.9 25.8 30.5 17
10.7 29 21.5 8.6 25.6 79 24.4 29.9 29.7 35.4 8 24.7
21.5 3.9 14.8 10 13.1 60.2 27 22.6 32.8 23.2 7.2 17.1
15 11.3 7.7 16.3 37.2 58.2 24.9 66.2 46.2 26.6 23.6 30.1
18.4 17.6 14.4 19.4 12.3 16.1 12.8 50.6 40 24 38.5 25.3
7.5 9.8 22.5 17.5 9.8 33.2 63.4 49.1 24.5 36.7 6.7 40.3
11.4 16.2 8.6 12.9 13.7 42.9 30.7 20.5 30.2 12.6 21.9 27.9
11.2 2.5 10.8 7.3 19.3 40.1 75.9 28.6 47.3 38 24.5 16
12 3.3 21.4 8.9 17.3 16.9 61.7 17.8 31.5 36.1 34.2 33.6
19.4 8.9 3 27.7 16.2 4.3 52.9 30.5 26.4 24.2 10.1 17.2
26.3 28.3 14.9 7.1 18.2 27 72.7 18.2 48.3 33.5 11.2 10.5
8 18.5 17.3 11.3 23.1 31.5 50.1 50.8 14.2 50.9 10.2 21.7
8 11.2 8 18.3 28.6 30.9 35.7 13.4 37 25.6 17.9 25
9.2 10 10.7 9.1 15.1 27.3 26.8 24 52.2 19.2 22.4 18.3
12.1 6.6 6.3 40.4 17.5 70.1 55.7 24 20.2 11.7 17.5 8.8
7.5 16.2 8.6 6 12 10.4 19.7 24.9 29.1 14.3 18.4 4
4.7 10.6 3.4 4.5 9.7 19.7 12.9 22 40.3 16 19.2 18.1
7.6 10.7 10.8 8 28.7 48.6 9.6 50.7 46.8 52.2 4.7 9.3
19.6 11.4 17.8 21.5 14.7 47.3 53 23.8 25.6 38.3 17.1 27
5 11.7 8.6 22.5 4.3 52.1 41.9 9.7 52.9 29.4 4.6 15.1
16.3 9 9 10.3 17.6 12.1 35.8 61.5 28.4 9.9 21.7 14.6
15.9 14 9.2 9.7 18 19.1 16.3 57.5 57.7 28.9 15.9 78
5.9 8.1 56.1 18.2 6.7 13 16.1 57.2 44.1 19.4 28 9
15.9 29.5 8.8 10.7 17.9 45.7 21 28.3 21 21.7 29.6 8.4
5.3 10.1 31 9.9 27.9 36.5 23.9 17.1 6.4 46.5 52 16.9
18.2 15.3 14.7 11 6.3 39.7 45.7 48.7 85.8 33.9 9.9 25
6.4 6.2 22.8 31.5 17.6 29.1 55.1 59.8 45.8 22.1 18.1 12.3
8.1 8.6 21.8 28.9 23.3 33.5 37.8 44 1.9 24.5 6.3 24
3.9 9.9 10.3 28.6 25.3 13 58.8 80.6 8.8 25.1 25.2 13.1
10.7 7.9 26.3 8.3 23 36.8 28.1 21.5 25.5 32.2 10.5 24.3
37.9 19.7 26.2 18.9 15.8 29.8 59 47.8 19.2 17.1 21.2 33.5
6.9 5.1 10.5 12.1 22.7 25.2 50.4 93.6 34.3 46.4 17.4 11.8
