"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
0.2 8.6 11.2 6.5 5.5 7.7 49.9 22.5 36.2 12.5 10.9 5.6
16.4 6.9 2.9 13.7 2.9 31.1 18.7 38.2 52.5 15.5 10.3 18
17.3 14.1 2 9.9 3.9 12.2 46.9 31.2 7.1 24.5 18.8 25.1
15.7 22.4 3 7.2 18.5 39.8 40.6 8.8 30 8.4 29.5 27.4
0.2 6.7 6.6 12.6 10.9 56.3 17.5 44.6 32.5 13.3 22.1 16.8
0.2 3.7 14.6 6.4 17.3 57.6 41.9 0.2 21.6 44.6 11.9 22.1
0.2 4 16 21.6 14.4 27.8 45.3 59.1 10.5 30.2 12.2 16.4
17.8 23.1 0.2 15.5 18.4 46.1 85 41.2 14.3 32.8 13.9 0.2
13.3 3.1 4.6 12.9 22.8 65.2 25.1 32.3 16.9 35.4 23.4 0.2
18.9 7.3 0.2 3.4 22 50.5 0.2 45.2 32.4 44.2 25.6 0.2
3.1 3.9 6.9 7.9 5.8 20.9 21.2 46.5 20.2 20.3 19.3 5.9
14.3 2.8 4 7.5 11.1 34.4 21.7 39.2 32.2 25.2 18.2 17.2
12.2 11.2 13.2 15.2 18.2 35.2 35.2 43.5 34.4 25.2 18.2 17.2
12.2 11 13.2 15.2 18.2 35.2 35.2 39.2 32.2 25.5 10.8 13.9
11.6 7.5 2.7 4.3 8.5 31.9 9.5 24.4 25.6 21.9 13.9 13.8
4.7 6.8 3.9 3 7.9 27.2 133.8 21.9 5 18.7 9.2 5.2
6.1 9.6 2 3.1 5.5 35.2 90 35.9 15.6 17.8 9.4 5.2
0.9 4 3 4 14.3 70.4 31.7 31.6 25.7 37.5 13.7 24.2
14.2 2.5 3 3.8 3.5 14.9 34.1 72.5 14.4 18.2 5.9 3.6
3.9 6.6 4.4 3.8 4.8 15.9 35.1 49.9 17.2 11.2 5.1 6.1
4.6 6.9 6.5 3 3.6 41.6 34.5 122.1 56.5 15.1 6.4 16.5
10.9 6 8 14.6 17.1 40.4 106.5 28.1 33.8 21.6 7 3.1
0.7 5.7 2.6 19.6 16.4 47 53.1 49.6 33.8 31.7 15.8 0.9
31 21.4 3.2 8.3 14 36.5 80.2 62.8 40.8 15 5.9 9.7
5.9 7.2 2.1 6.8 17 23.3 20.6 72.9 45.2 10.7 4 4
12.2 5.2 5.5 8.8 22.7 31 28 76 42 43.7 22.6 15
13.4 15.4 8.7 6.2 34.6 23.4 33.9 64.7 25.4 18.5 9.5 21.2
4.7 8.4 9.9 17.9 11.4 36.1 21 38.5 37.3 14.2 14.5 10.1
4.1 3.3 3.1 6.2 11.3 46.9 32.1 41 23 22.9 4.7 7.5
9.4 5.6 3 5.5 19 11.4 30.8 39.7 21.5 24.5 7.9 3.5
4.8 5.9 9.4 4.6 13.1 20.7 31.9 21.1 13.1 22.1 9.5 18.4
4.2 5.9 4.8 2.5 4.5 69.6 44.2 29.2 10.9 32 16.8 9.9
7.3 1.6 2.7 3.2 8.8 26.3 61.3 67.4 13.8 16.5 10.7 6.2
5.2 6.6 3 5.4 8.6 28.1 65.8 81.3 30.9 13.9 9.1 5.9
2.3 6.1 3.9 7.1 9.3 4.1 44.2 56.2 18.2 18.4 52.3 37.7
13.4 21.9 22.8 8.9 13 32.3 42.8 30.7 17.7 24.7 19 12.8
19.1 2.4 2.6 8.1 6.2 7.5 37.5 31.4 24.9 17.1 8.1 14.2
6.7 14.3 5.5 4.8 5.8 40.4 17.5 15.9 14.9 7.4 14.2 10.3
12.1 3 9 13.6 13.8 11 26.2 14.6 41.4 8.1 3.3 10
10.6 9.8 3 7.6 16.2 25.9 12.3 63.8 28 16.9 4.7 7.5
7.2 13.7 10 8.9 5.2 24.9 7 13.4 30.8 12.4 17.4 20.6
6.3 6.2 6.6 5.1 5.5 76.3 97.2 60.4 36.1 16.1 13 28
8.1 6.9 21 9.8 22.3 22.1 53.3 8.2 36.1 30.2 12.6 3.7
19.7 15.3 14.6 17.3 17.6 24.3 21.5 21.3 23.7 22.1 8.6 5.8
8.5 19.6 15.4 11.4 13.4 12.1 58.1 24.2 18.2 25.1 29.8 16.3
10 28.3 20.8 7.9 24.9 78.3 23.7 29.2 29 34.7 7.3 24
20.8 3.2 14.1 9.3 12.4 59.5 26.3 21.9 32.1 22.5 6.5 16.4
14.3 10.6 7 15.6 36.5 57.5 24.2 65.5 45.5 25.9 22.9 29.4
17.7 16.9 13.7 18.7 11.6 15.4 12.1 49.9 39.3 23.3 37.8 24.6
6.8 9.1 21.8 16.8 9.1 32.5 62.7 48.4 23.8 36 6 39.6
10.7 15.5 7.9 12.2 13 42.2 30 19.8 29.5 11.9 21.2 27.2
10.5 1.8 10.1 6.6 18.6 39.4 75.2 27.9 46.6 37.3 23.8 15.3
11.3 2.6 20.7 8.2 16.6 16.2 61 17.1 30.8 35.4 33.5 32.9
18.7 8.2 2.3 27 15.5 3.6 52.2 29.8 25.7 23.5 9.4 16.5
25.6 27.6 14.2 6.4 17.5 26.3 72 17.5 47.6 32.8 10.5 9.8
7.3 17.8 16.6 10.6 22.4 30.8 49.4 50.1 13.5 50.2 9.5 21
7.3 10.5 7.3 17.6 27.9 30.2 35 12.7 36.3 24.9 17.2 24.3
8.5 9.3 10 8.4 14.4 26.6 26.1 23.3 51.5 18.5 21.7 17.6
11.4 5.9 5.6 39.7 16.8 69.4 55 23.3 19.5 11 16.8 8.1
