"LAVESInumber" "01-LAGM" "02-LASI" "03-LACA" "04-PIOB" "05-PISY" "06-PISI" "07-BEPE" "08-LALA" "09-PIGL" "10-PIMA" "11-BEPA" "12-POTR" "13-POBA" "14-PICO" "15-LALA" "16-BENE" "17-TSME" "18-PIMA" "19-PISI" "20-PIGL" "21-POTR" "22-POBA"
3001 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
3002 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 0 700 700 700 700 700
3003 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3004 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 0 700 700 700
3005 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 0 700 700
3006 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 700 700 0 700 700 700 700
3007 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 0 700 700 700 700
3008 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 0 700 700 700 700
3009 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
3010 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3011 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3012 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 0 700 700 700 700
3013 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 0 700 0 0 700
3014 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 0 700 700
3015 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3016 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
3017 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 0 700 700 700 700
3018 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 0 700 0 700 700
3019 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 0 700 700 0
3020 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
3021 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 0 700 700 700 700
3022 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3023 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 0 700 700 700 0 700 0
3024 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3025 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3026 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3027 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3028 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3029 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3030 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3031 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3032 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3033 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
3034 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 0
5001 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
5002 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
5009 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 700 700 700 700 700 0 700 700
