lat lon model_r2 model_r2_adj model_sig par1 par2 par3 par4 par5 par6 par7 par8 par9 threshold_mild
1 29.2478842561545 38.7857400775856 0.312053698436788 0.249513125567405 0.0472156747142792 0.582661711636934 31.165384879479 -1 0 0 99999 0 1 1.50305259402063 99999
2 29.2478842561545 39.2348977196454 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
3 29.2478842561545 39.7738868901171 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
4 29.2478842561545 40.2230445321768 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
5 29.2478842561545 40.7620337026485 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
6 29.2478842561545 41.2111913447083 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
7 29.2478842561545 41.75018051518 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
8 29.2478842561545 42.2891696856517 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
9 29.2478842561545 42.7383273277115 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
10 29.2478842561545 43.2773164981832 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
11 29.2478842561545 43.726474140243 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
12 29.2478842561545 44.2654633107147 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
13 29.2478842561545 44.7146209527744 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
14 29.2478842561545 45.2536101232461 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
15 29.2478842561545 45.7925992937179 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
16 29.2478842561545 46.2417569357776 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
17 29.2478842561545 46.7807461062493 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
18 29.2478842561545 47.2299037483091 0.00318932517288791 -0.281613724777716 0.988881792561531 0.0038455882142253 24.425000333786 0.131965721548888 23.4750003039837 -0.991254280362048 -0.000910747682483897 -0.991254280362048 -0.131965721548888 1.24276149154774 0.350309379379547
19 29.2478842561545 47.7688929187808 0.0628592760447713 -0.00407934709488789 0.402965022676272 0.0196884935212471 25.2516134323612 -0.28435543792713 12.2048390071479 0.958718929051299 0.00435836166663209 -0.958718929051299 -0.28435543792713 1.33774707609077 0.651081375834517
20 29.2478842561545 48.2180505608406 0.0844836166506634 -0.0299559312680038 0.493547508597214 0.0221781576850222 27.281579519573 -0.395314696483032 10.1684213380672 0.918545747769009 0.0264362421254567 0.918545747769009 0.395314696483032 1.17185570945999 1.30375581444802
21 29.2478842561545 50.2841757143155 0.179216144175861 -0.0259798197801742 0.453853012508485 0.0085437858510884 28.3090917413885 0.198937624830136 10.7545458728617 -0.980012153713893 -0.0844733634314782 0.980012153713893 0.198937624830136 1.12734697475661 1.30375581444802
22 29.2478842561545 50.7333333563752 0.121107826682368 0.0177087474685292 0.333774054789858 -0.0118856922001469 30.2400008201599 -0.21603608306428 6.11000023037195 0.976385380274737 0.0660627906912119 -0.976385380274737 -0.21603608306428 1.49859913752393 1.30375581444802
23 29.2478842561545 51.2723225268469 0.121564978052942 0.0117606003095592 0.354549712220847 -0.0405657490508526 28.3184215646041 -0.531066917185773 3.4789474771211 0.84732988231904 0.00705058666104375 0.84732988231904 0.531066917185773 1.80050756054538 1.28889529726135
24 29.2478842561545 51.7214801689067 0.0407356558212236 -0.0426786349769308 0.619855520864468 -0.00441938786460323 31.0980774806096 -0.962591150424944 0.37500001074603 0.270958072630405 0.56189484956649 0.270958072630405 0.962591150424944 2.57294595360338 4.79693321451176
25 29.2478842561545 52.2604693393784 0.156278927211207 0.128615941218132 0.00561133676499997 0.107830559384061 27.5666670501232 0.433197348818383 2.34635422735785 -0.901299094072952 0.0641279324281429 0.901299094072952 0.433197348818383 3.16068817831332 2.24468040262826
26 29.2478842561545 52.7096269814382 0.105253846808764 0.0789377834796102 0.0227926360758146 0.0297388481489386 25.3345074250665 0.248978028628988 6.28239452335197 -0.968509133286839 0.0527862653692465 0.968509133286839 0.248978028628988 3.17371611102383 1.88061766501995
27 29.2478842561545 53.2486161519099 0.113162063015015 0.0624856094730161 0.122257244336331 0.0289739449988593 25.2403512502972 0.342605878817203 7.85789492138122 -0.939479223719126 0.0363437216134798 0.939479223719126 0.342605878817203 3.21980399633657 1.75737496551232
28 29.2478842561545 53.7876053223816 0.0160314760802177 -0.0401952967151984 0.753652433530151 -0.00987810644061952 23.0842108036342 -0.300065400571978 7.73157913002529 0.953918631424913 -0.027832347031171 -0.953918631424913 -0.300065400571978 3.16300196386106 1.56106697305714
29 29.2478842561545 54.2367629644414 0.0446240714646549 -0.0170130852150447 0.492835028144773 -0.0176216271092547 22.5573532791699 -0.276189814671122 8.51911786417751 0.961103109074116 -0.0458844903892294 -0.961103109074116 -0.276189814671122 3.40850111863233 1.8011105864281
30 29.2478842561545 54.7757521349131 0.128244853487937 -0.0461061758144758 0.503468843318721 -0.0200357087107826 16.188461798888 0.369077256675691 22.0961543868941 -0.929398718852542 -0.0798991548365586 0.929398718852542 0.369077256675691 2.20562057806251 -0.448383236281531
