"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
-32.8 -32.6 -27.2 -16.4 -3.5 7.6 12.4 11.1 2.6 -9.8 -22.2 -30.7
-28.6 -34.2 -28.7 -17.5 -4.2 7.1 14.2 10.7 2 -10.7 -23.5 -32.2
-36.7 -30.9 -25.7 -15.2 -2.6 8.1 10.7 11.4 3.3 -8.8 -20.8 -29
-28.8 -34.7 -29.1 -17.9 -4.5 7 14.3 10.6 1.8 -11 -23.9 -32.7
-31.9 -33 -27.6 -16.7 -3.7 7.5 12.5 11 2.5 -10 -22.5 -31.1
-33.5 -34 -28.5 -17.4 -4.2 7.2 12.2 10.7 2.1 -10.6 -23.3 -32.1
-36.9 -32.6 -27.3 -16.4 -3.5 7.6 10.9 11 2.6 -9.8 -22.2 -30.7
-29.1 -37 -31.2 -19.5 -5.6 6.3 14.5 10.1 1 -12.4 -25.8 -34.9
-34.3 -35.2 -29.6 -18.2 -4.7 6.8 12.4 10.5 1.7 -11.3 -24.3 -33.2
-34.1 -36.4 -30.7 -19.1 -5.3 6.5 12.4 10.2 1.2 -12.1 -25.3 -34.4
-35.9 -31.5 -26 -17.9 -8.3 1.5 14.3 7.5 2.2 -7.1 -26.3 -31.5
-26.1 -35.6 -25.7 -19.4 -6.7 6.1 12.2 7.7 1.4 -13.4 -15.8 -29.2
-38.2 -34.1 -28.7 -20.3 -7 6.4 11.3 10.3 3.4 -7 -26.8 -33.2
-30.1 -34.5 -29.2 -16.1 -5.8 5.5 14.6 9.2 3.9 -10.8 -30.9 -29.6
-25.2 -29.7 -27.8 -17.3 -9.9 2.8 10.8 11 -1.7 -10.4 -29.5 -29.4
-29.6 -17.1 -23.9 -19 -6 5.4 13 8.8 1.3 -8.7 -24.8 -31.9
-36.3 -22.5 -33.9 -21.4 -1.3 6.9 12.9 9.6 1.9 -14.4 -26 -28.7
-39.4 -33.9 -26.1 -13.6 -6.9 4.3 14.6 8.3 5.5 -11.4 -26.4 -23.7
-19.8 -25.4 -33.8 -18.5 -4.3 6.4 12.1 5.8 1.7 -13.8 -22.5 -28.9
-24.7 -31.1 -23.5 -12.7 -6.1 6.5 11.1 9.9 3.9 -13.9 -22.2 -29.1
-35.7 -27 -27.6 -20.9 -9.9 6 11.3 9.8 1.5 -11.2 -23.8 -21.5
-31.7 -28.5 -28.5 -16.7 -5.8 7.2 11.2 8.9 2.5 -14.4 -24.5 -35
-37 -36.1 -34.5 -23 -6 9.9 15.6 10.4 2.1 -7.9 -27.6 -33.5
-24.5 -30.5 -35.2 -22.7 -3.7 7.7 12.1 8 3.3 -11.3 -26.9 -21.1
-31.2 -22.7 -24.1 -8.3 -3.5 9.3 11.3 10.5 2.7 -8 -25.2 -34.8
-25.6 -30.3 -25.9 -16.8 -6 2.3 12.8 9.2 1.9 -11.9 -26 -29.4
-28.4 -29.1 -29.1 -14.9 -4.5 10.9 13.8 9.7 3.9 -8.8 -30.8 -35.3
-32.7 -31.9 -27.7 -17.9 -6.9 5.1 13.9 6.9 -0.7 -9.5 -28.1 -35.6
-32.8 -34.2 -24.2 -16.3 -2.7 4.8 13.4 9.1 0.9 -1.9 -24.6 -27.1
-29.6 -34.9 -26 -20.2 -5.4 4.1 14.3 9.9 4.3 -6.6 -15.3 -29
-30.7 -30 -21.9 -16.1 -6 1.1 11 8.3 4.3 -5.9 -28.3 -23.6
-34.7 -33.9 -29 -18.5 -5 6.1 11.8 8 2 -12.1 -28.9 -28.4
-37.3 -35.4 -33 -18.2 -7.6 3.3 11 7.2 5.3 -6.1 -25.2 -26.3
-36.5 -27.5 -31.3 -18.7 -6.3 4.7 10.6 7.4 4 -14.6 -27.7 -34.8
-34.5 -27.7 -23 -11.5 -4.2 6.9 17.6 6.9 1.2 -12.1 -23.3 -25.9
-34.1 -32.9 -27.9 -15.9 -7 7.7 11.7 11.8 -0.4 -10.1 -25.4 -22.5
-31.3 -37.8 -34.2 -17.4 -8.9 6.8 13.9 9.5 0.9 -12.1 -28.1 -35.6
-32.5 -26 -23.5 -22.2 -8.9 6.7 14.8 7.9 2.2 -18.1 -18.4 -24.7
-33.5 -34.4 -27.4 -21.3 -4.9 9.3 12.8 10.8 -2.9 -20.2 -32.9 -34.4
-31.6 -36.1 -31.6 -21.1 -8.6 1.5 14.9 5.7 -1.3 -16.6 -33.8 -37.6
-36.3 -27.2 -21.6 -19.2 -8.6 10.5 14.3 12.8 2.8 -11.7 -25.3 -30.7
-34.6 -38.5 -31.9 -19.5 -6 9 10.8 7.7 1.4 -14.6 -27.6 -22.5
-40.3 -34.5 -20.1 -18.1 -8.3 2.5 10.5 8.1 3 -12.1 -25.3 -33.6
-28.9 -29.6 -25.3 -15.5 -9.1 2.7 12.6 10.7 2.2 -10.8 -27.4 -35.9
-29.6 -29.5 -27.9 -20.4 -9.4 4.9 11.9 9 -0.2 -11.2 -22.8 -32.3
-34.2 -19.4 -32.5 -20.8 -9.7 2.2 13 9.9 4.2 -10.9 -29.8 -26.9
-35.4 -37.3 -25.4 -17.1 -8.9 2.9 14.6 11.7 2.3 -12.9 -30.3 -31.9
-39.6 -40.1 -34.7 -20.1 -7.9 2.9 11.5 8.9 1 -15.7 -28.2 -20.3
-35.7 -31.2 -26.3 -15.4 -7.4 5.3 16.2 8.3 1.9 -3.9 -17.3 -21.1
-31.4 -27.7 -20.5 -17 -8.2 3.3 11.6 7.8 1.3 -12.7 -34.5 -36.4
-34.7 -38.7 -28.9 -19.2 -6.8 5.9 16.1 9.8 -0.2 -12.8 -20.1 -27.5
-33.7 -35.3 -25.5 -20.1 -9.5 3.2 13.6 6.8 1.7 -13.8 -23.4 -27.5
-34.6 -34.1 -24.8 -19.4 -6 5.1 13.1 14.1 3.5 -14 -20.2 -25.3
-36.6 -32.1 -30 -14.9 -10.7 4.8 11.8 8.1 -1 -12 -31.1 -32.2
-33.1 -28.4 -22 -19.4 -7.8 3.9 12.1 10.4 1.2 -13.6 -28.9 -32.8
-37.9 -33.8 -21.1 -15.7 -6.9 2.5 9.6 10 1.9 -18.9 -33.5 -28.2
-31.4 -31.3 -27.4 -17.4 -5.2 7.4 13.7 9.7 2.9 -12.8 -26.7 -19.2
-29.6 -33.5 -28.4 -13.4 -7.4 6 9.8 6.8 1.5 -16.3 -28.6 -34.5
-32.5 -35.5 -30.4 -14.7 -3 5.8 11.4 7.1 0.7 -17.7 -28.8 -31.6
-38.1 -30.6 -31.4 -20.5 -8.3 6.2 13.9 10.9 1.3 -9.2 -20.7 -37.7
-41.5 -43.9 -32.6 -20.2 -9 9.9 15.7 9.4 1 -15.3 -28.9 -29.3
-33.5 -28.7 -29.7 -16.4 -6.3 2.4 12.4 11.6 2 -7.8 -31.6 -29.8
-20.2 -31.1 -27.2 -15.6 -10 5.2 10.5 10.3 -0.5 -13.6 -20 -29.2
-36.1 -28.3 -30.5 -15 -9 3.7 11.4 11.5 1.6 -18 -32.3 -29.5
-30.1 -29 -24.6 -20.7 -7.2 6.8 10.9 11.2 3.5 -9.7 -18.7 -30.5
-26.5 -31.1 -25.6 -23.3 -7.7 6.5 18.2 8.3 2.8 -11 -26.6 -29.1
-34.2 -31.6 -26.6 -17.9 -8.3 8 11.6 8.6 2.8 -10.4 -20.9 -29.5
-32.9 -28.7 -28.5 -20.4 -7.6 3.2 14.6 8.4 0.8 -9.6 -20.9 -33.8
-40.3 -34.5 -30.1 -17 -6.7 1.1 12.8 9.6 2 -11.2 -27.5 -32.7
-27.3 -30.7 -26.2 -22.4 -4.9 7.7 10.6 8.7 2.8 -12.7 -24.1 -19.3
-31.6 -26.4 -22.5 -18.6 -4.8 1.3 9.3 7 -0.8 -12.7 -31.1 -26.9
-35.5 -30.1 -18.4 -11.4 -4.5 10.5 12.8 8.6 3.1 -13.1 -31.6 -32.1
-35.2 -36.8 -27.8 -16.1 -6.3 3.8 14.4 8.7 4.7 -12.7 -21.1 -27.2
-31.8 -33 -26.1 -20.1 -5.3 2.9 10.9 8.8 -1.2 -19.4 -26.8 -30
-26.5 -29.8 -22.5 -17.6 -6.8 6.2 8 8.8 2.6 -13.3 -21.9 -29.7
-37.4 -36.6 -21.6 -18.8 -6.4 4.3 13.3 7.2 0.7 -7.7 -26 -27.2
-31.7 -24.8 -23.7 -15.4 -8.4 4.5 13.2 11.8 0.8 -11.4 -26.7 -30.9
-34 -25.1 -23.2 -18.1 -7 2 13.8 8.1 -2 -11.5 -18.3 -34.8
-32.6 -35.2 -25.1 -8.4 -2.5 6 13.6 8 4.1 -6.1 -28.2 -33.4
-33.3 -35.2 -23.8 -19.1 -7.7 5.6 11.8 12.1 -1.9 -19.2 -29.3 -30.2
-33.9 -23.4 -31.1 -17.9 -4.2 6.6 12.7 9.1 1.2 -12.9 -23.5 -25.9
-31.5 -27.8 -26.7 -15.8 -4.2 5 13.1 12.5 0.9 -13.8 -26.8 -36.1
-38.4 -33.8 -28.7 -23 -4.2 10.5 14.8 10.8 2.5 -12.1 -16.4 -24.1
-39.5 -34 -20.6 -19.5 -8.9 10.3 13.9 11.6 -1.6 -12.7 -25 -31.7
-29.2 -36.3 -25.3 -15.5 -4 8.6 11.2 10.7 4.4 -11.4 -28.8 -24.6
-35.5 -37.4 -33 -17.8 -7.7 3.7 11.8 7.9 2.3 -12.6 -22.5 -28.4
-27 -29.1 -26.9 -16.4 -3 8.2 12.3 6.9 4.7 -11 -23.2 -26.6
-28.7 -25.7 -26.5 -21.6 -6.3 6.1 15.7 8.1 0.9 -13.7 -23.1 -25.2
-25.4 -41.4 -25.6 -5.5 -6.5 6.4 11.8 9.2 2.4 -7.4 -25.9 -31.1
-24.8 -31.8 -28.8 -16.3 -3.2 6.2 10.5 10.3 2.9 -8.1 -22.1 -29
-24.1 -34.7 -29.1 -12.9 -5.6 8 14.5 9.5 4.3 -7.1 -22.4 -35.3
-28.9 -35 -24.2 -13.6 -1.4 8.3 12.5 9.7 1.2 -11 -21.2 -32.1
-25.8 -32.8 -17.1 -10.4 -1.7 8.3 13.1 11.2 4.3 -9 -21.8 -23.6
