"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
16.6 13.7 13.1 9.4 4.7 38.1 44.1 47.1 84.2 32.3 8.3 23.4
4.8 4.6 21.2 29.9 16 27.5 53.5 58.2 44.2 20.5 16.5 10.7
6.5 7 20.2 27.3 21.7 31.9 36.2 42.4 0.3 22.9 4.7 22.4
2.3 8.3 8.7 27 23.7 11.4 57.2 79 7.2 23.5 23.6 11.5
9.1 6.3 24.7 6.7 21.4 35.2 26.5 19.9 23.9 30.6 8.9 22.7
36.3 18.1 24.6 17.3 14.2 28.2 57.4 46.2 17.6 15.5 19.6 31.9
5.3 3.5 8.9 10.5 21.1 23.6 48.8 92 32.7 44.8 15.8 10.2
17.3 15.7 8.1 11.8 10.8 50.5 73.8 16 24.1 17.2 11.1 8.1
20.6 29.2 20.3 4.4 33.2 10 66.1 48.6 18.6 16.9 25.8 7.8
3.7 2.5 3.9 15.4 16.6 34.5 11.3 46.6 19.3 24 12.5 13.7
2.6 9 14.5 8.8 7.5 4.2 81.6 38.7 33.9 14.4 10.1 7
6.6 16.8 5.6 4.7 6.3 42.3 42.4 77.7 48.1 41.5 33.7 12
13.4 4.6 7.4 10.3 16.5 92.7 23.7 3 13.6 36.9 16.4 3.8
2.6 8.1 2.9 15.6 1 13.4 26.5 12.9 26.5 12.5 24.7 31.6
0.6 11.8 9.9 18.9 22.5 1.7 52.8 12.4 53.5 17.6 25.8 14.1
8.3 7.3 15.3 23.3 11.3 2.3 12.3 26.3 8.3 65.3 23.3 48.3
15.3 6.3 5.3 10.3 5.3 21.3 43.3 49.3 36.3 23.3 17.3 13.3
12.3 5.3 11.3 8.3 12.3 14.3 37.3 36.3 20.3 34.3 15.3 10.3
16.3 22.3 7.3 16.8 26.3 4.3 43.3 63.3 45.3 28.3 47.3 14.3
23.3 7.3 8.3 7.3 35.3 12.3 52.3 80.3 23.3 32.3 23.3 10.3
30.3 12.3 10.3 7.3 12.3 45.3 27.3 31.3 24.3 33.3 21.3 31.3
19.3 8.3 18.3 17.3 8.3 12.3 50.3 36.3 49.3 15.3 24.3 6.3
39.3 4.3 3.3 7.3 16.3 64.3 36.3 44.3 30.3 47.3 35.3 15.3
38.3 16.3 21.3 11.3 6.3 25.3 60.3 35.3 33.3 31.3 16.3 17.3
