26.62 27.7 27.87 27.14 25.79 25.88 26.34 24.76 25.72 29.15 30.86
25.06 26.55 25.59 26.35 27.07 27.19 26.83 26.62 27.99 30.4 32.04
23.57 23.5 24.69 27.74 28.99 29.05 28.77 28.61 30.51 31.28 32.33
22.07 22.04 26.33 29.09 30.39 30.72 30.3 29.86 31.41 32.04 32
24.24 24.14 27.19 29.35 30.79 31.39 31.34 31.72 32.47 32.59 31.95
27.4 27.7 28.4 29.79 31.28 32.49 32.9 32.72 32.45 31.62 30.21
28.71 29.52 30.16 31.18 32.65 33.55 33.57 32.39 30.87 29.46 27.97
29.63 30.94 31.84 32.78 33.91 34.27 33.41 31.34 29.06 27.58 26.11
29.53 30.81 31.45 32.05 32.91 33.52 32.82 30.72 28.13 26.33 25.44
25.86 27.11 27.7 28.02 29.28 30.97 31.39 30.11 28.23 27.08 25.88
19.83 21.06 21.81 22.59 24.78 27.62 29.15 28.89 27.54 25.5 22.07
