22.14 22.93 25.33 27.03 26.6 26.19 25.57 26.64 27.26 25.91 24.42 23.87 22.96 20.53 20.5 22.11 22.87 23.73 24.17 21.91 19.95 20.07 20.44 18.62
19.69 17.82 18.63 22.77 24.89 26.76 27.3 26.86 27.08 25.39 23.37 23.65 24.48 24.32 23.25 21.3 17.8 16.27 18.26 18.25 17.69 17.56 17.53 16.72
17.82 17.55 16.53 17 19.09 22.6 25.59 26.4 28.1 28.97 27.36 25.23 23.06 22.35 21.15 19.12 17.21 15.38 14.86 15.21 15.14 15.18 16.31 16.94
10.82 12.43 14.08 15.05 16.36 18.59 21.58 23.47 24.91 27.34 28.22 28.42 26.91 23.35 20.5 17.53 16.24 16.55 16.54 18.23 20.06 19.37 17.74 15.05
9.78 10.12 10.44 9.83 9.7 11.66 14.81 19.15 21.66 22.49 22.39 22.4 24.33 24.45 24.06 23.7 22.94 22.05 19.97 18.17 18.97 20.19 18.95 15.71
7.67 8.45 9.1 10.21 10.35 9.56 8.68 10.75 14.44 16.78 18.67 18.7 19.76 21.82 22.6 22.75 22.39 21.97 20.51 16.33 14.39 17.34 17.62 16.23
7.74 7.18 7.26 9.02 10.38 10.25 10.02 10.37 11.49 12.37 13.27 14.47 16.1 18.9 20.8 20.37 18.5 17.09 17.3 16.28 14.8 16.62 18.11 17.74
7.23 6.55 6.02 5.62 5.87 6.58 7.28 8.47 9.37 10.31 11.1 12.67 14.28 15.48 17.52 18.63 19.29 20 19.84 18.26 15.31 14.32 15.95 17.68
5.14 4.97 5.13 4.85 4.82 5.28 4.82 4.72 5.3 6.41 8.97 11.11 11.76 11.35 11.58 12.94 14.94 18.16 20 17.5 14.64 13.79 14.6 16.64
4.91 4.5 4.48 4.41 4.5 4.79 4.85 5.51 5.96 6.12 5.86 4.68 4.21 5.52 7.43 9.57 10.62 14.17 18.3 13.93 11.09 12.34 12.9 15.52
4.05 3.51 3.64 3.63 3.73 3.75 3.94 4.64 4.95 4.19 3.06 2.69 3.83 5.09 5.82 7.17 10.21 15.53 16.33 10.2 8.99 10.26 9.61 10.06
3.74 3.39 2.68 2.07 2.45 2.92 3.28 3.26 3.29 2.88 3.03 4.64 5.63 5.82 5.8 7.65 12.7 15.44 11.48 7.06 7.07 8.49 8.75 6.44
3.3 2.84 2.21 1.73 1.89 2.2 2.47 2.88 4.15 4.26 5.23 6.67 6.61 6.17 6.05 9.8 14.66 12.7 6.53 3.54 3.14 5.59 7.13 5.38
2.49 1.72 1.75 1.65 2.24 2.82 3.08 3.84 5.28 6.09 6.65 7.19 7.72 8.42 10.33 13.98 13.9 8.57 4.52 3.01 2.79 3.9 5.55 5.57
1.87 1.43 1.46 2.21 3.06 3.29 3.75 4.87 5.79 6.4 6.87 7.33 8.21 10.03 11.9 12.27 9.28 5.64 4.53 3.33 2.94 3.76 4.54 4.67
1.49 1.66 2.23 3.34 3.72 4.15 5.37 5.69 5.94 6.77 7.67 7.8 8.78 10.98 9.71 7.24 5.91 4.81 4.55 3.96 3.99 4.34 4.13 3.89
1.37 2.42 3.3 3.88 4.62 5.66 6.47 5.93 6.42 7.35 7.42 8.01 9.76 10.06 7.84 6.38 6.2 5.78 4.94 4.52 4.49 4.33 3.93 4.34
