9.05 9.01 9.05 9 8.42 8.4 9.12 9.53 9.48 9.53 10.35 10.8 8.95 8.48 8.61 8.82 9.12 9.26 9.28 9.27 9.3 9.32 9.03 9.01 9.28 11.95 10.07 8.39 7.77 7.87 8.39 9.17 9.6 9.12
8.93 8.91 9.06 9.3 8.97 8.99 9.38 9.6 9.44 9.43 9.88 10.06 8.94 8.54 8.71 8.83 9.02 9.08 9.08 9.13 9.2 9.25 8.96 9.01 9.44 11.81 8.89 7.96 7.59 7.62 8.18 9.02 9.71 9.59
8.56 8.53 8.74 9.23 9.29 9.48 9.43 9.31 9.01 8.84 8.86 8.94 8.65 8.63 8.81 8.93 9.06 9.12 9.16 9.28 9.46 9.63 9.35 9.41 9.71 11.03 9.23 7.87 7.99 7.58 8.09 8.86 9.55 9.72
8.31 8.29 8.4 9.05 9.46 9.71 9.42 9 8.65 8.4 8.17 8.13 8.42 8.69 8.82 9.05 9.23 9.35 9.53 9.98 10.48 10.7 10.37 10.04 9.82 9.9 9.23 9.51 7.68 7.85 8.31 8.94 9.46 9.71
8.29 8.31 8.4 8.89 9.41 9.78 9.16 8.7 8.46 8.24 7.97 7.78 8.05 8.48 8.84 9.05 9.17 9.31 9.56 10.13 10.73 10.86 10.55 9.98 9.32 8.62 8.62 9.24 8.11 8.1 8.45 8.94 9.32 9.63
8.38 8.47 8.55 8.7 9.03 9.29 8.5 8.07 7.96 7.97 7.95 7.66 7.91 8.33 8.66 8.79 8.85 8.99 9.18 9.56 9.97 10.29 10.47 10.1 9.03 8.27 8.09 7.83 7.89 7.93 8.24 8.65 8.86 9.16
8.45 8.61 8.68 8.67 8.81 8.7 7.96 7.53 7.53 7.82 7.88 7.8 7.94 8.16 8.3 8.35 8.42 8.49 8.45 8.33 8.33 8.58 9.64 9.77 9.28 8.45 8.18 8.05 7.97 8.15 8.34 8.61 8.73 9.22
8.4 8.62 8.65 8.6 8.71 8.42 7.66 7.22 7.29 7.52 7.73 7.76 7.84 7.96 8.03 8.06 8.16 8.2 8.09 7.81 7.79 8.14 8.96 9.79 9.77 9.13 8.73 8.59 8.55 8.61 8.65 8.62 8.7 9.23
8.49 8.65 8.63 8.55 8.63 8.33 7.55 7.18 7.23 7.46 7.67 7.65 7.7 7.8 7.87 7.93 8.07 8.14 8.12 7.76 7.77 7.9 8.48 9.22 9.47 9.08 8.88 8.98 9.44 9.42 9 8.52 8.71 9.42
8.63 8.65 8.49 8.39 8.43 8.24 7.78 7.63 7.87 7.72 7.61 7.43 7.5 7.65 7.8 7.98 8.28 8.63 8.58 8.23 8.08 8.15 8.66 9.15 9.26 9.05 8.99 9.2 10.05 10.11 9.43 8.78 8.91 11.41
8.51 8.46 8.26 8.05 7.95 7.73 7.46 7.44 7.74 7.46 7.19 7 7.11 7.28 7.44 7.66 8.01 8.42 8.57 8.53 8.54 8.71 9.41 10.01 9.98 9.44 9.25 10.28 11.37 10.79 9.99 9.28 12.06 12.98
8.38 8.53 8.47 8.27 8.08 7.72 7.74 8.31 9.99 8.59 7.59 7.05 7.14 7.28 7.37 7.45 7.65 7.91 8.28 8.67 9.21 10.07 11.09 11.99 12.36 12.66 12.77 12.71 12.86 13.3 13.43 13.4 12.97 12.66
7.98 8.4 9.24 9.95 9.79 9 7.94 7.7 7.71 7.73 7.36 7.08 7.18 7.3 7.38 7.51 7.76 8.08 8.43 9.03 9.91 10.44 10.83 10.71 10.29 9.81 9.25 8.74 8.45 8.32 8.34 8.69 9.6 10.63
7.69 8.16 9.05 9.89 10.03 10 8.93 8.34 8.2 8.2 7.63 7.32 7.45 7.64 7.8 7.97 8.31 8.74 9.43 10.37 10.85 10.66 10.55 10.33 9.9 9.28 8.65 8.17 7.89 7.82 7.87 8.11 9.16 10.47
7.6 8.03 8.79 9.57 9.83 9.97 9.67 9.11 8.88 8.49 7.73 7.4 7.66 8.08 8.46 8.82 9.46 10.56 11.03 11.02 10.8 10.17 10.43 10.54 10.06 9.19 8.51 8.09 7.79 7.75 7.8 7.96 8.75 10.63
7.78 7.97 8.22 8.59 9.2 9.78 9.93 9.78 9.51 8.88 7.91 7.58 7.86 8.32 8.68 8.87 9.34 10.01 9.99 9.57 9.24 9.11 10.68 11.1 10.52 9.38 8.83 8.67 8.66 8.57 8.6 8.67 9.11 11.39
7.55 7.66 7.72 8.02 8.52 9.42 9.95 10.02 9.88 9.31 8.36 7.92 8.09 8.46 8.57 8.63 9.09 9.66 9.59 8.97 8.68 8.93 10.76 11.26 10.48 9.15 8.88 9.16 9.16 9.27 9.37 9.76 10.43 12.62
7.52 7.63 7.52 7.56 7.83 8.8 9.58 9.9 9.98 9.67 8.99 8.48 8.43 8.6 8.63 8.56 9.34 9.93 9.79 8.9 8.74 9.34 10.82 11.28 10.41 8.93 8.84 9.06 9.46 9.67 9.69 10.25 10.31 13.87
7.35 7.46 7.41 7.49 7.79 8.73 9.39 9.71 9.91 9.85 9.5 9.09 8.92 8.7 8.65 9.87 10.53 11.25 11 9.84 9.92 10.37 11.02 11.37 10.94 9.46 9.27 9.48 9.96 10.14 10.5 12.11 15.46 9.53
7.76 7.79 7.66 7.7 8 8.92 9.45 9.62 9.78 9.86 9.83 9.65 9.41 8.9 11.09 10.97 11.36 12.11 12.21 11.39 11.24 11.14 11.08 11.15 11 10.42 10.28 10.57 10.99 11.2 12.45 15.22 10.61 9.24
8.28 8.14 7.85 7.91 8.3 9.38 9.83 9.73 9.76 10.08 10.79 12.96 13.98 13.31 11.94 11.65 12.03 13.07 13.43 12.45 11.86 11.45 10.91 10.84 11.08 11.23 11.6 11.93 12.04 12.79 14.35 14.88 10.65 8.84
8.64 8.46 8.13 8.15 8.55 9.64 10.2 10.04 10.07 10.54 13.12 12.78 9.87 8.64 11.21 11 11.23 11.72 12.2 12.34 11.86 11.6 11.1 10.87 10.99 11.31 11.44 11.25 10.95 10.96 11.92 12.26 10.18 8.84
8.69 8.68 8.44 8.46 8.82 9.67 10.26 10.88 11.63 14.61 8.86 8.77 9.05 8.55 8.43 9.68 10.02 10.15 10.46 11.08 11.28 11.29 11.12 11.05 10.82 10.67 10.25 9.35 8.58 8.19 8.27 8.82 9.17 9.8
