0.57 0.65 0.38 0.47 0.4 0.32 0.51 0.62 1.6 2.01 0.92
1.19 1.29 0.84 0.29 0.7 0.88 1.04 1.25 1.93 1.63 0.77
0.67 0.72 1.16 1.22 1.27 1.18 1.13 1.2 1.47 0.99 0.49
0.23 0.79 1.6 1.58 0.89 0.73 0.87 0.99 1 0.43 0.24
1.15 1.34 1.63 1.36 0.74 0.63 0.83 0.77 0.48 0.28 0.75
1.33 1.49 1.54 1.27 1.04 0.78 0.58 0.25 0.53 1.18 1.48
1.19 1.24 1.27 1.18 1.09 0.62 0.5 0.94 1.35 1.53 1.52
1.26 0.84 0.72 0.7 0.6 0.04 0.91 1.5 1.5 1.27 1.2
1.58 1.34 1.38 1.53 1.49 1.04 1.07 1.48 1.2 0.87 1.15
3.23 3.29 3.21 3.06 2.78 2.05 1.18 1.13 1.08 1.23 2.11
4.52 4.34 4 3.6 3.25 2.67 1.8 1.47 1.98 2.99 3.78
