537.5 532.8 529.15 525.12 523.74 520 517.13 515.48 509.18 506.07 503.79 502.63 500.81 499.62 497.01 496.21 493.63 491.23 490.11 489.28
528.42 526.04 522.4 518 517.07 511.27 507.56 506.01 502.61 499.78 498.33 497.05 496.07 490.25 489.47 488.25 487.16 485.6 485.45 484.71
523.12 520.66 514.56 510.38 507.03 505.16 503.15 499.97 498.49 494.46 490.75 488.98 487.94 486.73 483.75 483.36 481.85 479.3 479.17 478.5
516.83 511.69 509.22 505.71 502.74 500.53 497.92 493.85 491.6 488.44 486.25 485.33 482.77 481.16 478.44 476.68 475.43 474 474.04 474.8
510.71 506.68 504.5 499.23 496.71 493.31 491.77 491.05 488.24 484.37 482.73 478.39 477.84 476.76 474.81 474.02 472.7 470.45 470.39 468.34
501.55 499.08 497.38 495.54 492.35 489.43 488.1 487.74 482.99 479.54 476.56 474.8 472.88 472.54 471.24 469.4 467.58 466.78 464.7 465.2
497.57 494.13 492.01 491.02 489.56 483.96 481.57 479.3 476.69 474.4 472.99 470.99 467.53 466.77 465.67 464.61 464.25 464.39 462.15 460.64
489.57 484.9 484.51 484.11 482.63 480.29 477.47 473.91 471.76 469.31 468.23 466.91 465.27 463.25 462.77 460.93 461.06 459.38 458.29 457.01
478.25 478.98 479.83 479.21 477.67 476.11 473.21 468.63 467.43 465.64 464.44 463.04 460.79 458.48 456.38 456.26 455.61 456.05 455.22 454.2
474.68 474.11 473.33 472.34 471.2 469.54 469.16 466.49 463.61 462.14 458.9 457.6 456.34 454.59 454.23 453.28 452.58 453 450.71 449.21
467.72 467.58 468.44 468.55 466.73 465.8 465.41 460.37 458.94 457.35 455.39 454.72 453.05 452.07 450.57 448.17 447.5 447.67 446.95 446.8
463.22 462.57 463.52 463.79 460.51 459.87 458.54 457.45 455.1 453.76 451.94 450.99 448.86 447.93 446.23 445.98 445.02 444.78 444.45 442.36
459.24 456.09 456.3 457.36 456.63 456.28 455.08 454.67 450.17 448.81 447.26 447.05 446.03 445.47 443.38 444.15 441.28 440.91 440.46 439.99
453.88 453.17 452.33 453.09 452.85 450.48 449.87 448.98 447.74 444.9 444.92 444.08 443.76 441.49 439.63 439.86 439.31 438.06 436.65 436.73
450.89 449.6 447.34 448.33 447.56 448.19 446.87 445.14 445.18 442.85 440.31 439.39 439.53 438.68 437.33 437.04 436.89 433.7 431.66 9999
447.5 446.1 445.56 445.59 444.96 444.85 442.64 442.6 440.11 438.53 438.49 437.8 436.93 436.52 433.14 431.57 430.25 9999 9999 9999
447.19 444.73 443.48 442.28 441.52 441.16 439.72 439.71 437.56 436.48 435.33 433.87 432.26 9999 9999 9999 9999 9999 9999 9999
445.38 442.6 441.24 439.77 438.59 438.46 437.8 436.02 433.38 432.86 432.27 9999 9999 9999 9999 9999 9999 9999 9999 9999
441.99 441.89 439.39 438.65 436.05 435.64 433.76 432.54 431.77 430.17 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
440.05 439.46 437.94 436.35 434.51 433.02 433.09 431.17 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
