16.5 17.76 19.84 19.84 17.52 16.51 15.9 16.32 16.94 16.07 15.25 13.83 12.9 13.33 13.68 13.57 13.54 13.02 11.92 10.22
13.89 14.18 15.29 15.2 15.67 15.64 14.42 14.05 13.06 12.16 12.52 12.73 13.04 13.15 12.54 12.16 11.87 11.21 10.58 10.49
12.88 14.41 14.77 13.72 13.21 11.89 11.25 11.65 11.96 12.27 11.8 11.8 11.74 11.01 10.55 11.03 11.43 11.1 10.48 10.2
13.91 13.73 12.7 12.04 11.46 11.54 11.37 10.53 10.78 10.69 9.64 9.92 10.05 9.94 9.49 9.02 9.17 8.64 8.67 9.21
15.26 13.51 12.34 11.88 11.31 10.95 9.24 8.48 9.93 10.08 10.29 10.39 9.49 8.62 7.83 7.49 7.75 7.8 8.49 8.97
14.48 12.81 11.54 9.78 9.61 9.91 10.1 11.53 12.42 11.03 9.79 9.25 9.32 9.53 9.3 9 7.97 7.25 7.49 7.71
14.29 13.35 12.32 11.07 11.01 10.9 11.2 12.6 12.16 10.3 8.88 8.59 8.4 8.42 8.54 7.82 6.95 6.99 7.27 7.6
17.58 14.79 12.12 11.41 11.07 10.05 10.19 10.57 9.84 8.98 8.41 8.21 8.02 8.18 8.61 8.32 8.1 7.89 7.23 6.61
12.87 11.25 10.61 11.06 11.12 10.45 10.04 9.17 8.14 8.27 8.81 9.24 9.27 8.83 8.14 7.75 7.38 6.97 7.35 7.77
10.36 10.56 10.59 10.48 10.47 9.59 9.25 9.53 8.67 8.92 8.89 8.35 7.82 6.8 6.54 7.34 7.76 7.94 8.05 7.42
10.84 10.47 9.4 9.12 9.79 9.74 10.2 10.21 8.81 8.42 7.48 7.02 7.23 7.22 7.58 7.47 7.3 7.24 6.82 6.49
8.88 10.3 11.13 10.67 10.05 9.48 8.96 8.43 8.46 8.6 8.05 7.6 7.16 6.97 6.33 5.42 5.72 6.26 6.5 6.89
9.37 9.46 10.07 9.53 8.64 8.54 8.51 8.62 8.88 8.11 7.28 6.37 5.98 6.51 6.3 6 6.19 6.51 6.77 6.56
7.82 7.54 7.93 8.56 8.5 8.17 8.27 8.07 7.18 6.51 6.74 6.91 6.76 6.95 6.36 5.91 6.01 7.09 8.41 9.26
6.51 6.95 6.72 7.05 6.93 6.47 6.71 6.84 7.31 7.21 6.39 6.22 6.06 6.26 6.66 7.69 8.58 8.63 8.37 9999
5.48 4.9 4.59 5.29 6.02 6.69 6.71 6.45 7.2 6.5 5.49 5.78 7.02 7.98 8.96 9.68 9.16 9999 9999 9999
4.79 4.54 4.71 5.58 6.01 5.92 5.68 6.46 6.92 6.02 6.81 7.76 7.83 9999 9999 9999 9999 9999 9999 9999
5.33 4.98 4.42 4.73 5.04 5.51 6.27 6.93 6.6 6.26 6.61 9999 9999 9999 9999 9999 9999 9999 9999 9999
4.92 4.48 4.31 4.55 4.78 4.96 5.32 5.16 4.98 4.96 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
4.31 4.06 4.19 4.27 4.27 3.6 4.05 4.95 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
