12.87 11.25 10.61 11.06 11.12 10.45 10.04 9.17 8.14 8.27 8.81 9.24 9.27 8.83 8.14 7.75 7.38 6.97 7.35 7.77 7.77 7.54 7.5 6.74 5.75 5.83 6.29 6.16 6.1 6.26 6.64 7.05 7.34
10.36 10.56 10.59 10.48 10.47 9.59 9.25 9.53 8.67 8.92 8.89 8.35 7.82 6.8 6.54 7.34 7.76 7.94 8.05 7.42 6.4 5.79 5.98 5.87 6.29 6.47 6.32 6 5.23 5.4 6.55 7.51 7.37
10.84 10.47 9.4 9.12 9.79 9.74 10.2 10.21 8.81 8.42 7.48 7.02 7.23 7.22 7.58 7.47 7.3 7.24 6.82 6.49 6.5 6.76 6.77 6.36 6.21 5.84 6.08 6.6 7.17 7.27 6.8 6.24 5.35
8.88 10.3 11.13 10.67 10.05 9.48 8.96 8.43 8.46 8.6 8.05 7.6 7.16 6.97 6.33 5.42 5.72 6.26 6.5 6.89 7.35 7.05 5.96 5.91 6.1 6.23 6.61 6.67 6.76 6.15 5.22 4.39 3.11
9.37 9.46 10.07 9.53 8.64 8.54 8.51 8.62 8.88 8.11 7.28 6.37 5.98 6.51 6.3 6 6.19 6.51 6.77 6.56 6.57 6.43 6.19 6.37 6.39 6.54 6.26 6.1 6.07 5.64 9999 9999 9999
7.82 7.54 7.93 8.56 8.5 8.17 8.27 8.07 7.18 6.51 6.74 6.91 6.76 6.95 6.36 5.91 6.01 7.09 8.41 9.26 8.93 8.13 7.85 7.1 6.27 6.2 9999 9999 9999 9999 9999 9999 9999
6.51 6.95 6.72 7.05 6.93 6.47 6.71 6.84 7.31 7.21 6.39 6.22 6.06 6.26 6.66 7.69 8.58 8.63 8.37 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
5.48 4.9 4.59 5.29 6.02 6.69 6.71 6.45 7.2 6.5 5.49 5.78 7.02 7.98 8.96 9.68 9.16 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
4.79 4.54 4.71 5.58 6.01 5.92 5.68 6.46 6.92 6.02 6.81 7.76 7.83 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
5.33 4.98 4.42 4.73 5.04 5.51 6.27 6.93 6.6 6.26 6.61 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
4.92 4.48 4.31 4.55 4.78 4.96 5.32 5.16 4.98 4.96 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
4.31 4.06 4.19 4.27 4.27 3.6 4.05 4.95 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
