1.84 1.98 1.96 2 1.99 1.9 1.76 1.61 1.36
0.95 1.37 1.68 1.96 2 1.92 1.83 1.72 1.48
0.95 1.27 1.61 2 2.13 2.08 2.06 1.99 1.76
0.05 0.24 0.67 1.45 1.86 1.95 2.12 2.19 2.04
1.06 0.98 1.04 1.7 2.15 2.24 2.33 2.34 2.09
1.08 1 1.06 1.78 2.26 2.31 2.32 2.29 1.97
0.94 0.97 1.12 1.84 2.26 2.17 2.07 2.02 1.58
0.8 0.94 1.21 1.66 1.84 1.77 1.77 1.8 1.44
0.84 0.98 1.24 1.44 1.42 1.4 1.52 1.61 1.31
