412 406 400 393 390 388 390 393 397 403 406 408 412 416 417 416 413 411 406 399 394 388
404 403 404 403 400 397 397 399 404 409 413 412 414 418 421 421 417 416 413 404 400 394
413 412 412 413 410 406 405 407 410 414 417 420 421 420 425 427 420 421 418 411 407 401
427 425 423 422 420 416 416 417 419 423 425 424 425 425 430 430 425 426 423 419 414 407
434 432 430 427 425 423 423 424 428 431 434 435 435 432 436 435 432 431 428 423 419 412
437 436 434 430 427 426 427 430 433 437 439 442 442 442 440 439 435 433 429 424 421 417
441 440 438 435 434 434 436 440 441 445 444 445 446 444 442 440 438 435 430 428 425 423
446 448 446 443 443 444 445 448 448 450 450 450 450 448 446 442 441 437 432 432 429 428
452 452 450 449 450 450 450 452 452 454 455 455 453 452 451 450 445 442 437 435 434 433
458 456 454 455 455 454 455 456 457 459 459 460 458 458 456 453 449 444 441 439 438 437
465 463 462 461 461 461 460 460 460 462 462 461 460 459 458 456 452 448 445 443 441 439
475 470 468 467 465 465 464 463 461 462 462 462 460 458 457 455 454 452 449 446 445 443
478 475 472 470 469 468 466 465 465 463 462 459 459 456 455 455 454 453 452 450 448 446
480 477 472 471 470 468 467 467 470 469 464 460 457 457 457 456 454 453 452 451 449 449
480 481 475 471 469 469 467 467 470 471 465 460 458 457 457 457 456 454 453 451 450 449
481 483 478 472 470 469 468 465 465 465 463 459 456 454 454 454 455 455 453 451 449 448
479 481 478 473 471 469 466 465 464 462 460 457 452 451 450 452 453 453 454 450 446 445
477 479 476 471 471 471 466 463 463 459 454 452 449 446 448 452 450 446 447 445 444 442
473 471 469 467 465 463 460 456 454 454 450 448 444 441 445 447 444 442 440 439 439 437
471 468 465 461 457 455 454 451 448 448 446 443 440 438 441 441 439 438 438 437 434 432
468 465 463 459 455 453 451 446 443 442 440 438 436 436 436 436 435 436 436 435 434 429
464 461 459 455 452 449 445 444 440 437 435 433 433 434 434 433 435 435 435 434 432 428
