0.39 0.7 1.08 1.06 0.73 0.37 0.15 1.01 0.45 0.63 1.57 1.29 0.77 1.63 0.66 0.72 3.25 1.64 1.27 1.5 1.95 1.32
0.43 0.04 1.16 1.52 1.55 0.54 0.47 1.34 0.83 2.14 1.48 1.41 1.35 0.42 1.35 1.52 2.01 1.72 2.29 1.41 1.12 1.1
0.89 0.27 0.11 1.16 1.32 0.75 0.33 1.23 2.59 0.78 2.62 1.67 1.14 0.21 1.68 1.12 0.97 2.84 1.09 1.01 1.62 2.02
0.69 9999 0.2 0.24 1.7 1.03 1.46 0.79 2.28 3.27 2.2 0.25 2.05 0.9 1.26 1.41 2.24 2.17 1.65 0.93 1.18 0.53
1.6 1.36 0.33 1.06 0.68 1.51 0.33 2.71 1.08 1.81 2.13 2.45 1.03 0.61 0.97 0.22 1.36 1.13 2.23 0.23 1.61 2.37
0.94 1.89 1.01 0.59 0.51 1.42 2.6 0.46 2.53 2.53 2.2 2.24 1 1.16 0.83 0.26 2.36 0.59 1.99 0.79 0.79 1.03
1.04 1.12 2 0.92 1.21 0.78 0.66 2.31 1.84 1.95 0.52 0.59 1.78 0.28 1.63 0.42 1.57 2.45 2.07 0.41 1.63 1.2
0.46 0.18 0.95 1.11 1.27 1.83 2.01 1.29 1.75 2.35 1.89 2.65 0.87 1.47 0.62 0.79 1.17 2.17 0.9 1.23 0.88 1.29
0.48 0.44 0.84 0.78 0.51 1.03 0.09 2.02 2.15 1.02 0.81 0.97 2 1.5 0.85 1.19 1.17 1 1.65 0.44 1.52 1.12
0.63 1.42 1.03 1.36 1.11 1.81 2.13 0.86 0.8 1.81 1.52 1.89 2.52 1.26 1.66 0.9 0.82 0.77 0.5 0.78 0.37 0.69
1.53 1.03 1.99 1 0.49 0.99 1.19 2.04 1.33 0.88 0.4 0.95 0.94 1.69 2.11 2.02 0.68 0.7 0.99 0.39 0.34 1.16
1.7 3.02 2.11 0.75 0.23 1.04 2.31 0.45 1.34 1.88 1.24 0.61 0.56 1.13 1.49 1.43 3.36 2.27 1.41 1.3 1.09 0.56
1.26 1.65 2.11 2.4 1.39 1.31 1.08 1.67 1.09 0.23 1.59 1.96 0.86 0.66 0.9 2.02 1.08 2.83 1.06 1.04 0.13 0.81
1 2.24 1.77 2.76 2.84 0.93 2.14 1.29 0.36 0.71 0.2 0.6 2.27 1.42 0.32 0.7 1.94 0.19 1.28 0.9 0.67 1.4
1.76 1.58 2.35 1.8 2.64 2.79 1.79 0.38 1.35 1.18 1.9 1.53 0.61 1.89 0.68 0.35 0.56 1.99 0.48 1.05 1.39 1.35
0.8 2.11 1.27 2.41 2.11 2.67 1.67 1.27 1.97 1.25 0.27 1.29 0.84 1.32 0.97 0.38 0.53 0.62 2.04 1.85 1.05 1.03
0.58 0.42 1.14 1.75 0.89 0.64 0.74 2.11 1.31 1.97 1.49 2.19 1.39 2.17 2.48 0.26 0.17 0.94 0.56 1.03 1.76 1.71
1.24 0.87 1.17 0.92 0.66 0.49 1.67 1 0.41 1.35 2.49 1.32 2.34 2.59 3.26 3.52 0.71 0.61 0.99 1.43 1.11 0.23
0.97 0.61 0.19 0.38 0.89 0.47 0.33 1.65 1.26 1.74 0.97 1.13 2.39 0.34 9999 9999 3.41 2.06 0.62 1.39 1.24 1.89
1.7 0.42 1.45 0.9 0.51 0.06 0.7 0.83 0.73 0.73 1.62 1.96 1.83 9999 9999 9999 9999 2.81 2.85 2.18 3.47 2.35
1.92 1.14 0.73 1.37 1.02 0.57 0.5 0.82 1.15 1.14 0.4 1.91 2.65 1.78 9999 9999 9999 9999 9999 9999 2.21 0.66
1.09 1.29 1.37 0.69 1.85 0.93 0.75 0.55 0.63 1.06 1.19 0.71 1.12 2.86 9999 9999 9999 9999 9999 9999 9999 9999
