8.31 8.4 8.62 8.91 10.48 9.33 9.33 9.3 9.47 9.2 9.3
9.62 8.4 10.85 14.17 10.2 10.68 10.59 9.64 9.34 9.26 9.23
8.48 10.4 10.1 9 10.65 10.24 10.73 10.63 9.73 9.84 8.19
8.31 9.08 8.55 8.59 8.59 8.39 8.47 8.73 9.87 9.94 9
8.17 8.44 8.84 8.46 8.54 8.52 8.67 8.51 8.78 8.99 8.63
7.87 8.67 8.93 9.5 9.03 8.46 7.82 7.57 7.75 8.87 8.75
8.48 8.66 9.74 9.04 7.85 7.86 8.34 7.69 7.98 8.57 8.62
8.92 9.04 10.35 8.51 7.82 7.97 8.61 8.75 8.9 8.42 8.45
8.99 9.5 11 8.08 8.11 8.52 9.32 9.45 9.17 9.42 8.91
9.13 10.24 10.94 9.93 8.69 10.27 9.79 9.64 9.57 8.77 9.43
10.05 10.76 10.34 10.21 11.1 9.43 12.19 10.05 9.59 9.61 9.73
