2.29 1.77 2.42 3.25 3.45 3.14 2.67 2.26 1.97 1.6 1.51 2.29 3.1 3.79 4.11 4.41 4.64
3.16 2.43 2.63 2.77 2.98 3.09 2.77 2.49 2.35 2.01 1.97 2.69 3.24 3.68 3.94 4.2 4.41
3.16 2.69 2.72 2.04 2.17 2.7 2.6 2.55 2.77 2.87 3.06 3.37 3.44 3.4 3.41 3.46 3.52
2.85 2.84 2.92 1.88 1.82 2.44 2.34 2.4 2.85 3.33 3.65 3.63 3.44 3.18 3.06 2.94 2.86
2.6 3.09 3.27 2.1 1.77 2.25 1.97 1.93 2.33 2.79 3.17 3.26 3.2 3.05 2.99 2.91 2.86
2.54 3.38 3.61 2.3 1.84 2.15 1.53 1.05 1.17 1.37 1.85 2.3 2.52 2.59 2.7 2.78 2.82
2.53 3.64 3.88 2.35 2.07 2.41 1.59 0.64 0.45 0.63 1.51 2.13 2.28 2.29 2.46 2.66 2.78
2.75 4.07 4.3 2.64 2.73 3.11 2.28 1.45 1.19 1.2 2.19 2.81 2.7 2.4 2.48 2.66 2.77
3.42 4.73 4.94 3.44 3.84 4.47 4.31 3.95 3.72 3.55 3.8 3.88 3.32 2.64 2.59 2.67 2.66
3.9 5.21 5.4 4.02 4.33 5.15 5.62 5.61 5.46 5.32 4.96 4.3 3.39 2.74 2.67 2.66 2.56
3.9 5.25 5.38 3.89 3.9 4.65 5.25 5.32 5.24 5.13 4.67 3.93 3.12 2.68 2.66 2.66 2.57
3.59 5.07 5.11 3.35 2.85 3.43 3.97 4.11 4.13 4.12 3.77 3.23 2.67 2.33 2.18 2.02 1.97
3.19 4.88 4.86 3.03 2.18 2.61 3.05 3.18 3.25 3.3 3.06 2.7 2.34 2.01 1.69 1.39 1.36
3.44 5.04 4.95 3.2 2.29 2.63 2.99 3.11 3.19 3.27 3.07 2.74 2.38 2.03 1.71 1.43 1.38
4.84 5.55 5.17 3.48 2.57 2.61 2.62 2.65 2.69 2.76 2.84 2.84 2.78 2.54 2.25 1.98 1.91
5.83 5.67 4.96 3.38 2.7 2.51 2.29 2.27 2.26 2.26 2.51 2.79 3.09 3.03 2.82 2.55 2.51
5.38 5 4.3 3.06 2.66 2.49 2.3 2.28 2.26 2.24 2.47 2.75 3.08 3.09 2.92 2.62 2.57
