Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-30.8 -18.4 -24.5 -19 -6 5.8 13.7 8.8 1.2 -9.6 -25.7 -32.9
-37.1 -23.4 -33.6 -21.9 -1.6 7 13.4 9.6 1.8 -14.9 -27 -30.2
-40.3 -34.3 -25.8 -13.6 -6.4 4.9 15.6 8.5 5.5 -11.9 -27.3 -25
-21.7 -26.9 -33.2 -18 -3.9 7.1 13 6.2 2.1 -14 -23.4 -30.6
-26.1 -32.3 -23.4 -12.6 -5.7 7 12.1 10.3 3.8 -14.3 -22.6 -30.2
-36.9 -28.2 -27.3 -20.6 -9.6 7 12 10.3 1.6 -11.5 -25 -22.8
-33.2 -29.7 -28.3 -16.5 -5.3 8.2 12.6 9.2 2.4 -14.9 -26 -36.5
-38.5 -37.2 -34.7 -22.4 -5.6 10.7 16.5 10.7 2.2 -8.5 -28.8 -35.2
-25.6 -31.5 -34.9 -22.3 -3.6 8.1 13.2 8.5 3.5 -11.9 -28.4 -22.8
-32.4 -24.2 -23.8 -8.2 -3.1 9.6 12.2 10.9 2.8 -8.5 -25.9 -36.1
-26.8 -31.1 -25.7 -16.5 -5.7 3.2 12.6 9.7 2.7 -12.5 -27 -29.1
-28.6 -32.2 -28.8 -14.9 -4.2 10.5 14 9.5 3.9 -9 -30.9 -35.2
-38.6 -36.7 -27.4 -17.1 -7.6 4.8 14.8 7.2 -1 -10.3 -29.2 -36.9
-34 -35.2 -24.3 -16 -2.1 5.6 14.4 9.4 0.8 -5.5 -25.5 -28.7
-30.6 -35.7 -25.7 -19.9 -5.3 4.9 14.8 10.1 4.6 -7 -16.6 -30.1
-31.4 -30.8 -21.9 -15.8 -5.7 1.8 12.1 8.6 4.4 -6.7 -29.4 -24.6
-35.9 -34.9 -28.5 -18.6 -4.5 6.8 12.7 8.2 1.9 -12.8 -29.9 -30.1
-38.1 -36.4 -32.8 -18.1 -7.1 3.7 11.6 7.3 4.9 -6.6 -25.9 -27.4
-37.2 -28.7 -31.3 -18.6 -6.1 5 11.3 7.6 3.8 -14.9 -28.6 -35.9
-35.4 -28.7 -23.3 -11.5 -3.9 7.2 18 7.1 1 -12.1 -24.1 -27.2
-35.3 -33.9 -27.7 -15.9 -6.8 8 12.4 11.9 -0.6 -10.4 -26 -24.1
-22.5 -38.6 -34.1 -17.3 -8.4 7 14.5 9.6 0.7 -12.4 -29 -37.1
-34 -26.9 -24.1 -21.9 -8.6 7.1 15.3 8 2 -18.2 -19.2 -25.9
-33.9 -35.3 -27.5 -20.9 -4.7 9.3 13.4 10.7 -4 -19.9 -33.8 -35.7
-32.6 -36.7 -31.8 -21 -8.2 1.9 15.4 6 -1.3 -16.8 -34.3 -38.9
-37.5 -28.6 -21.7 -18.9 -8.1 10.6 14.7 12.6 2.6 -12 -25.8 -32
-35.7 -39.1 -32 -19.3 -5.7 9.1 11.4 7.7 1.1 -15 -28.8 -23.9
-41.1 -35.3 -20.6 -18 -7.9 2.9 11.1 8 2.8 -12.4 -25.6 -34.8
-30 -30.5 -26 -15.6 -8.8 3.6 13.1 10.8 2 -11.2 -28.5 -36.9
-30.9 -30.2 -27.8 -20.3 -8.9 5.1 12.5 9.5 -0.2 -11.5 -22.9 -33.6
-35 -20.7 -32.1 -20.6 -9.3 2.6 13.6 10 4.2 -11.4 -23.1 -28.3
-36.6 -37.3 -25.6 -17 -8.5 0.2 15 11 2 -13 -31.2 -29
-40 -40.9 -34.4 -20.5 -7.3 3.4 12 9 0.9 -15.9 -29.1 -21.5
-36.1 -32.3 -26.5 -13.7 -7.1 5.9 16.8 8.5 1.6 -4.3 -18 -22.4
-32.5 -28.6 -20.2 -13 -8.6 3.7 12.3 7.9 1.1 -12.9 -35.4 -37.1
-35.6 -39.6 -29 -19.1 -6.5 6.1 16.5 10 -0.2 -13.2 -21.1 -28.4
-34.3 -36.1 -25.7 -20 -9.2 3.5 14.3 6.9 1.6 -14.2 -24.2 -27
-35.4 -34.7 -25.2 -19.3 -5.8 5.4 14.4 14 3.2 -13.9 -20.6 -26.5
-37.3 -33.1 -29.9 -14.8 -10 5.3 12.2 8.3 -1.1 -12.2 -31.6 -33.1
-34.7 -28.3 -22.5 -19.5 -7.2 4.1 12.9 10.6 1.3 -13.5 -30.7 -34.2
-39.4 -31.6 -22.4 -15.5 -6.7 5.9 10.1 10 1.9 -18.7 -34.8 -33.7
-32 -32.4 -27.4 -17.5 -4.5 7.7 14.2 9.8 2.8 -12.7 -27.1 -20.9
-30.3 -35 -28.7 -13.1 -7.5 6 10.5 7.2 1.6 -16.1 -28.9 -36.8
-33.5 -36.6 -30.6 -14.8 -2.8 5.9 11.8 7.1 0.4 -17.9 -29.1 -35
-39.2 -31.2 -30.1 -19.8 -4.8 5.9 14.5 11.2 1 -9.3 -20.7 -39.1
-42.9 -45 -32.3 -19.8 -9 9.6 16.2 9.1 0.9 -15.1 -29 -29.7
-34.5 -30.4 -29.4 -16 -6.2 2.8 13.1 11.9 2.1 -8.2 -32 -22.4
-21.3 -31.7 -27.5 -15.5 -9.3 5.5 11.6 10.3 -0.3 -13.9 -20.6 -29.8
-37.4 -28.8 -30.8 -15.3 -8.6 4 11.9 11.7 1.4 -18.2 -32.1 -30.9
-30.4 -30.2 -24.3 -20.9 -6.7 6.7 11.5 11.4 3.4 -10.1 -19.2 -31.2
-27.2 -32.1 -26.1 -23.5 -7.1 6.8 18.8 8.4 3.2 -11.6 -27.7 -29.9
-35.3 -32.9 -26.8 -18 -8 8.2 12.3 8.9 2.5 -10.5 -21.7 -30.4
-34.4 -29.3 -28.9 -20.1 -7.3 4 15.1 8.7 0.7 -9.8 -22.5 -34
-40.8 -34.9 -29.7 -17.4 -6.4 1.4 13.2 9.8 1.9 -11.3 -29 -33.4
-28.8 -31.7 -26.5 -22.5 -4.9 8 11.4 8.7 2.8 -12.7 -24.8 -20.6
-32.9 -27.1 -22.9 -18.5 -4.5 1.6 9.8 7.1 -1.1 -12.7 -32 -27.8
-36.2 -31.3 -18.6 -11.8 -4 10.4 13.5 8.8 2.7 -12.6 -32 -33.3
-35.9 -37.3 -28.1 -16.2 -6.2 4.4 15.1 9 4.6 -12.8 -23 -28.6
-32.7 -33.3 -25.9 -19.8 -4.7 3.3 11.5 8.9 -1.5 -18.8 -27.9 -30.9
-27.2 -30 -22 -17.9 -5.7 6.3 9 8.9 2.5 -13.3 -23.5 -30
-38 -37.1 -21.6 -18.7 -6.5 4.5 14.1 6.7 0.4 -7.7 -26.9 -30.2
-31.3 -25.6 -24.6 -14.9 -7.9 4.8 13.8 11.8 0.7 -11 -26.9 -31.7
-35.1 -29.4 -23.9 -17.9 -0.8 2.4 14.3 8.5 -2.2 -11.3 -19.6 -35.5
-33.8 -35.9 -25.3 -8.7 -2.3 6.1 14.2 8.3 4.5 -6.1 -28.8 -34.1
-34.3 -35.8 -24.2 -18.9 -7.6 5.6 12.6 12.6 -1.9 -19 -30 -32.4
-34.8 -24.5 -31.5 -17.6 -3.8 6.6 13.5 9.2 1.2 -12.9 -24.3 -26.6
-32.7 -28.1 -27 -15.1 -4.4 5.4 13.3 12.9 1 -14 -27.7 -36.9
-38.9 -34.5 -28.7 -22.9 -4.1 10.5 15.2 10.9 2.2 -12.2 -16.8 -24.7
-39.9 -34.7 -20.6 -19.4 -8.6 10.5 14.4 11.4 -1.5 -12.8 -25.5 -32.9
-30.5 -36.6 -25.3 -15.8 -3.7 8.5 12 12.5 4.4 -11.4 -29.4 -25.7
-35.8 -38 -32.9 -17.6 -7.4 3.9 12.4 8.1 2.1 -12.8 -23 -29.9
-28.5 -30.1 -26.8 -16.5 -2.8 8.3 13.2 7.1 4.7 -10.8 -23.8 -27.7
-29.7 -27.1 -26.2 -21.5 -6.1 6.3 16.1 8.7 1.2 -14.5 -24.1 -26.5
-26 -41.6 -26 -12.3 -6.2 6.6 12.5 9.5 2.2 -7.9 -26.1 -32
-26.1 -32.3 -25.5 -16.4 -3.3 6.5 11.3 10.5 2.8 -8.4 -22.9 -30.5
-25.1 -35.5 -29 -12.7 -5.3 8.3 15.1 9.7 4.1 -7.4 -23.3 -36.2
-29.9 -35.4 -24.3 -13.5 -1.1 8.5 13.3 9.9 1.1 -11.1 -21.8 -33.3
-26.9 -33.4 -17.4 -10.4 -1.4 8.5 13.7 11.4 4 -9.2 -22.7 -24.8
-30 -24.7 -24.2 -14.6 -3.6 9.9 15.9 10.1 4.9 -10.4 -22.7 -28.9
-33.8 -36.4 -30.6 -14.9 0.2 8 15.3 10.2 1.2 -10.8 -19.8 -30.2
