1.53 1.31 1.61 0.94 1.29 0.35 1.06 2.54 1.9 3.17 3.7
1.8 1.61 0.61 0.92 1.69 2.39 0.95 1.8 1.96 0.29 4.18
2.8 2.83 0.69 0.79 1.86 1.2 1.43 0.29 0.55 2.05 2.97
1.07 3.01 3.61 3.46 4.04 4.51 2.52 0.87 0.65 0.88 1.64
1.55 1.12 2.62 2.77 0.91 2.32 4.34 4.09 2.57 0.31 1.65
0.94 1.23 0.89 1.19 2.48 1.71 1.07 2.69 3.68 2.05 1.03
1.37 1.03 1.31 1.42 0.92 2.7 0.1 0.74 2.08 2.25 0.73
0.85 0.73 0.74 0.48 1.53 2.39 1.61 9999 9999 2.3 0.7
0.21 0.85 1.46 1.11 1.26 1.3 2.05 1.45 9999 2.62 0.47
1.23 0.73 1.25 2.02 2.21 2.06 2.06 1.12 2 2.54 3.15
0.21 0.96 1.03 3.82 2.68 0.46 2.1 2.63 1.67 0.76 1.14
