9.11 8.99 9.53 9.3 10.5 10.91 9.23 11.9 9.8 8.5 8.64
9.48 8.3 9.42 10.19 9.37 9.61 10.05 10.54 9.26 8.79 8.82
11.62 11.12 10.08 9.01 8.39 9.09 9.72 10.22 8.86 9.31 9.27
13.19 11.8 9.15 8.39 8.67 9.12 9.69 9.99 8.55 9.41 9.99
9.26 10.95 9.97 9.37 9.25 9.02 9.44 8.82 9.29 9.81 8.85
8.59 9.42 9.71 9.83 9.44 8.81 9.1 9.94 9.19 8.39 9.05
8.89 8.93 9.13 9.24 9.16 9.03 9.25 8.7 8.98 8.9 9.29
8.32 8.73 8.88 8.91 9.06 11.83 8.65 9.08 9.44 9.58 10.11
8.1 8.26 8.23 8.13 8.16 8.51 8.49 8.86 9.83 10.84 10.85
8 7.94 8.03 8.28 8.38 8.07 8.39 8.75 9.05 8.35 7.81
8.06 8.05 8.27 8.72 8.51 8.21 8.18 8.17 8.34 8.48 7.92
