;Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter;;;;;;;;;;;
92;44.6;48.4;300;6.37;3.50;1;110;;;;;;;;;;;
93;44.6;64.4;300;6.37;3.50;1;110;;;;;;;;;;;
94;44.6;80.4;300;6.37;3.50;1;110;;;;;;;;;;;
95;44.6;96.4;300;6.37;3.50;1;110;;;;;;;;;;;
96;14.6;0.4;300;6.37;3.50;1;110;;;;;;;;;;;
97;14.6;16.4;300;6.37;3.50;1;110;;;;;;;;;;;
98;14.6;32.4;300;6.37;3.50;1;110;;;;;;;;;;;
99;14.6;48.4;300;6.37;3.50;1;110;;;;;;;;;;;
100;14.6;64.4;300;6.37;3.50;1;110;;;;;;;;;;;
101;14.6;80.4;300;6.37;3.50;1;110;;;;;;;;;;;
102;14.6;96.4;300;6.37;3.50;1;110;;;;;;;;;;;
103;74.2;2;390;6.37;4.14;1;115;;;;;;;;;;;
104;74.2;18;390;6.37;4.14;1;115;;;;;;;;;;;
105;74.2;34;390;6.37;4.14;1;115;;;;;;;;;;;
106;74.2;50;390;6.37;4.14;1;115;;;;;;;;;;;
107;74.2;66;390;6.37;4.14;1;115;;;;;;;;;;;
108;74.2;82;390;6.37;4.14;1;115;;;;;;;;;;;
109;74.2;98;390;6.37;4.14;1;115;;;;;;;;;;;
110;44.2;2;390;6.37;4.14;1;115;;;;;;;;;;;
111;44.2;18;390;6.37;4.14;1;115;;;;;;;;;;;
112;44.2;34;390;6.37;4.14;1;115;;;;;;;;;;;
113;44.2;50;390;6.37;4.14;1;115;;;;;;;;;;;
114;44.2;66;390;6.37;4.14;1;115;;;;;;;;;;;
115;44.2;82;390;6.37;4.14;1;115;;;;;;;;;;;
116;44.2;98;390;6.37;4.14;1;115;;;;;;;;;;;
117;14.2;2;390;6.37;4.14;1;115;;;;;;;;;;;
118;14.2;18;390;6.37;4.14;1;115;;;;;;;;;;;
119;14.2;34;390;6.37;4.14;1;115;;;;;;;;;;;
120;14.2;50;390;6.37;4.14;1;115;;;;;;;;;;;
121;14.2;66;390;6.37;4.14;1;115;;;;;;;;;;;
122;14.2;82;390;6.37;4.14;1;115;;;;;;;;;;;
123;14.2;98;390;6.37;4.14;1;115;;;;;;;;;;;
124;85;15.2;380;8.28;4.46;1;118;;;;;;;;;;;
125;85;31.2;380;8.28;4.46;1;118;;;;;;;;;;;
126;85;47.2;380;8.28;4.46;1;118;;;;;;;;;;;
127;85;63.2;380;8.28;4.46;1;118;;;;;;;;;;;
128;85;79.2;380;8.28;4.46;1;118;;;;;;;;;;;
129;85;95.2;380;8.28;4.46;1;118;;;;;;;;;;;
130;55;15.2;380;8.28;4.46;1;118;;;;;;;;;;;
131;55;31.2;380;8.28;4.46;1;118;;;;;;;;;;;
132;55;47.2;380;8.28;4.46;1;118;;;;;;;;;;;
133;55;63.2;380;8.28;4.46;1;118;;;;;;;;;;;
134;55;79.2;380;8.28;4.46;1;118;;;;;;;;;;;
135;55;95.2;380;8.28;4.46;1;118;;;;;;;;;;;
136;25;15.2;380;8.28;4.46;1;118;;;;;;;;;;;
137;25;31.2;380;8.28;4.46;1;118;;;;;;;;;;;
138;25;47.2;380;8.28;4.46;1;118;;;;;;;;;;;
139;25;63.2;380;8.28;4.46;1;118;;;;;;;;;;;
140;25;79.2;380;8.28;4.46;1;118;;;;;;;;;;;
141;25;95.2;380;8.28;4.46;1;118;;;;;;;;;;;
142;91.8;4;265;9.23;5.41;1;125;;;;;;;;;;;
143;91.8;20;265;9.23;5.41;1;125;;;;;;;;;;;
144;91.8;36;265;9.23;5.41;1;125;;;;;;;;;;;
145;91.8;52;265;9.23;5.41;1;125;;;;;;;;;;;
146;91.8;68;265;9.23;5.41;1;125;;;;;;;;;;;
147;91.8;84;265;9.23;5.41;1;125;;;;;;;;;;;
148;61.8;4;265;9.23;5.41;1;125;;;;;;;;;;;
149;61.8;20;265;9.23;5.41;1;125;;;;;;;;;;;
150;61.8;36;265;9.23;5.41;1;125;;;;;;;;;;;
151;61.8;52;265;9.23;5.41;1;125;;;;;;;;;;;
152;61.8;68;265;9.23;5.41;1;125;;;;;;;;;;;
153;61.8;84;265;9.23;5.41;1;125;;;;;;;;;;;
154;31.8;4;265;9.23;5.41;1;125;;;;;;;;;;;
155;31.8;20;265;9.23;5.41;1;125;;;;;;;;;;;
156;31.8;36;265;9.23;5.41;1;125;;;;;;;;;;;
157;31.8;52;265;9.23;5.41;1;125;;;;;;;;;;;
158;31.8;68;265;9.23;5.41;1;125;;;;;;;;;;;
159;31.8;84;265;9.23;5.41;1;125;;;;;;;;;;;
160;1.8;4;265;9.23;5.41;1;125;;;;;;;;;;;
161;1.8;20;265;9.23;5.41;1;125;;;;;;;;;;;
162;1.8;36;265;9.23;5.41;1;125;;;;;;;;;;;
163;1.8;52;265;9.23;5.41;1;125;;;;;;;;;;;
164;1.8;68;265;9.23;5.41;1;125;;;;;;;;;;;
165;1.8;84;265;9.23;5.41;1;125;;;;;;;;;;;
166;96.2;11.6;400;8.59;5.41;1;125;;;;;;;;;;;
167;96.2;27.6;400;8.59;5.41;1;125;;;;;;;;;;;
168;96.2;43.6;400;8.59;5.41;1;125;;;;;;;;;;;
169;96.2;59.6;400;8.59;5.41;1;125;;;;;;;;;;;
170;96.2;75.6;400;8.59;5.41;1;125;;;;;;;;;;;
171;96.2;91.6;400;8.59;5.41;1;125;;;;;;;;;;;
172;66.2;11.6;400;8.59;5.41;1;125;;;;;;;;;;;
173;66.2;27.6;400;8.59;5.41;1;125;;;;;;;;;;;
174;66.2;43.6;400;8.59;5.41;1;125;;;;;;;;;;;
175;66.2;59.6;400;8.59;5.41;1;125;;;;;;;;;;;
176;66.2;75.6;400;8.59;5.41;1;125;;;;;;;;;;;
177;66.2;91.6;400;8.59;5.41;1;125;;;;;;;;;;;
178;36.2;11.6;400;8.59;5.41;1;125;;;;;;;;;;;
179;36.2;27.6;400;8.59;5.41;1;125;;;;;;;;;;;
180;36.2;43.6;400;8.59;5.41;1;125;;;;;;;;;;;
181;36.2;59.6;400;8.59;5.41;1;125;;;;;;;;;;;
182;36.2;75.6;400;8.59;5.41;1;125;;;;;;;;;;;
183;36.2;91.6;400;8.59;5.41;1;125;;;;;;;;;;;
184;6.2;11.6;400;8.59;5.41;1;125;;;;;;;;;;;
185;6.2;27.6;400;8.59;5.41;1;125;;;;;;;;;;;
186;6.2;43.6;400;8.59;5.41;1;125;;;;;;;;;;;
187;6.2;59.6;400;8.59;5.41;1;125;;;;;;;;;;;
188;6.2;75.6;400;8.59;5.41;1;125;;;;;;;;;;;
189;6.2;91.6;400;8.59;5.41;1;125;;;;;;;;;;;
190;98.6;12.8;500;8.75;5.57;1;126;;;;;;;;;;;
191;98.6;28.8;500;8.75;5.57;1;126;;;;;;;;;;;
192;98.6;44.8;500;8.75;5.57;1;126;;;;;;;;;;;
193;98.6;60.8;500;8.75;5.57;1;126;;;;;;;;;;;
194;98.6;76.8;500;8.75;5.57;1;126;;;;;;;;;;;
195;98.6;92.8;500;8.75;5.57;1;126;;;;;;;;;;;
196;68.6;12.8;500;8.75;5.57;1;126;;;;;;;;;;;
197;68.6;28.8;500;8.75;5.57;1;126;;;;;;;;;;;
198;68.6;44.8;500;8.75;5.57;1;126;;;;;;;;;;;
199;68.6;60.8;500;8.75;5.57;1;126;;;;;;;;;;;
200;68.6;76.8;500;8.75;5.57;1;126;;;;;;;;;;;
201;68.6;92.8;500;8.75;5.57;1;126;;;;;;;;;;;
202;38.6;12.8;500;8.75;5.57;1;126;;;;;;;;;;;
