111.9 111.93 114.09 114.9 116.57 116.01 115.53 116.44 116.61 115.04 115.52 117.81 115.92 115.73 117.95 113.67 115.76 123.88 119.3 119.89 120.84 120.84
111.98 111.88 111.88 115 115.41 115.63 114.74 115.39 117.98 117.96 113.7 114.44 115 117.97 114.12 116.13 118.33 122.31 119.41 115.43 115.18 115.37
111.41 111.88 112.19 111.67 111.75 114.47 114.07 113.76 116.16 120.25 118.58 113.58 113.57 114.76 114.12 115.93 114.44 118.58 117.17 118.59 117.33 117.39
111.26 9999 111.6 111.38 112.34 116.02 115.49 112.13 113.04 117.72 118.54 116.05 118.37 118.35 119.27 119.63 116.81 113.82 122.83 118.59 120.12 121.7
113.38 112.58 111.6 111.55 114.4 113.7 116.53 114.22 111.64 111.56 111.87 114.33 119.58 117.42 117.87 119.63 118.44 115.39 115.08 117.5 115.29 118.98
115.86 115.46 111.44 113.19 112.32 111.77 116.37 119.1 115.13 112.02 112.45 115.96 117.39 117.48 117.16 120.04 117.35 112.71 116.15 117.89 115.29 116.52
116.33 116.53 113.81 113.19 113.65 111.85 112.91 113.45 115.29 119.04 117.56 119.36 116.82 113.8 117.37 118.85 117.35 113.98 118.58 119.81 117.34 120.21
116.47 117.9 116.76 116.08 115.87 114.12 115.04 112.24 113.67 117.73 114.06 117.65 118.09 116.79 116.27 118.71 118.09 120.32 119.07 117.54 120.39 120.21
117.26 117.03 116.16 116.54 117.12 117.55 118.94 117.27 114.82 111.66 111.63 112.07 114.21 118.03 117.02 117.17 120.66 120.74 117.96 116.16 116.64 116.68
117.96 117.05 114.16 113.82 117.12 116.79 115.07 117.08 117.44 117.69 116.57 119.27 116.07 112.99 118.81 117.93 119.01 118.74 116.61 117.96 115.65 116.88
119.03 119.35 116.27 113.46 115.29 112.26 112.27 116 117.25 117.27 116.14 117.98 119.03 115.16 115.32 119.98 118.21 120.95 116.61 118.42 116.21 117.36
115.15 115.37 116.24 116.81 116.17 117.46 114.85 113.06 113.47 115.14 117.61 118.46 116.95 116.78 114.27 112.26 117.1 120.26 118.41 116.8 115.65 113.39
113.73 109.92 109.8 111.12 115.01 115.26 118.04 116.38 113.58 113.04 114.14 116.18 118.51 117.49 116.52 116.49 111.28 113.95 113.86 115.41 116.29 115.61
114.52 111.97 109.73 111.33 117.53 120.25 118.04 115.83 114.29 114.69 113.73 114.15 114.57 116.23 116.92 115.87 114.83 111.76 115.41 114.62 116 114.44
110.82 115.06 115.32 114.9 114.71 118.13 112.97 114.87 113.69 110.87 114.46 114.49 111.69 113.68 115.6 115.78 115.78 114.15 111.03 112.65 114.2 111.66
110.56 114.12 117.1 116.96 109.89 111.66 113.47 114.87 112.92 111.06 108.98 110.21 112.83 111.75 116.56 114.77 115.47 115.8 115.14 113.67 111.76 110.43
111.93 113.99 112.53 112.57 110.72 110.54 108.83 110.93 108.8 110.77 114.39 113.26 109.54 115.48 115.17 116.29 114.46 116.08 117.09 117.39 114.68 114.86
111.37 115.28 113.82 111.77 111.79 112.34 111.17 108.24 108.8 108.39 112.95 115.07 109.06 107.9 108.82 114.38 114.97 114.46 113.97 115.83 116.69 115.58
114.84 115.22 113.64 114.64 112.73 111.95 112.08 112.98 110.07 111.69 110.33 114.7 107.92 107.35 9999 9999 112.23 114.43 114.29 113.81 118.16 115.56
112.53 116.78 113.67 112.54 111.04 111 111.19 113.02 112.55 113.85 113.35 112.47 107.55 9999 9999 9999 9999 108.32 112.14 113.83 113.21 109.65
112.86 115.9 115.26 113.59 112.25 112.05 111.2 110.74 112.2 113.85 115.23 112.61 109.84 106.99 9999 9999 9999 9999 9999 9999 108.09 109.01
114.4 114.13 113.54 115.63 113.84 112.47 112.06 110.66 110.69 111.94 113.21 115.09 113.71 111.94 9999 9999 9999 9999 9999 9999 9999 9999
