Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-31.8 -31.9 -24.4 -19 -3.5 3 11.8 9.8 -1.1 -16.8 -27.6 -30
-26.9 -29 -20.1 -16.1 -5 7.4 10.1 9.2 2.8 -11.9 -22.1 -30.6
-37.9 -37.1 -19.3 -16.1 -5.5 5.9 14.6 7.3 0.9 -6.9 -26.6 -31.2
-30.4 -24.5 -21.7 -11.5 -6 5 13.7 12 1.1 -9.8 -25.7 -31.5
-35.2 -29.1 -21.4 -16.1 -1.2 3.5 14.7 8.1 -1.6 -10.2 -19.8 -34.8
-33.7 -34.8 -22.4 -7.2 -1 5.4 13.3 8.7 4.9 -5.2 -28.7 -35.1
-33.7 -35.1 -21.9 -17.2 -6 5.6 13 12.8 -1.8 -17.8 -30.7 -31.2
-35.3 -24.1 -29.7 -16 -2.5 6.3 13.3 9.1 1.6 -11.3 -24.1 -25.9
-33.4 -28.2 -23.5 -13.6 -2.9 6.4 13 13 1.4 -12.9 -28.6 -37.9
-39.8 -34 -26.6 -20.6 -2.8 11 14.6 11.8 2.6 -11 -17.6 -25.9
-38.2 -33.4 -19.2 -17.9 -6.5 10.8 14 11.2 -1.2 -11.1 -25.2 -33.4
-30.8 -35.6 -23.9 -14.5 -2.5 9.6 11.9 12.6 4.5 -10.1 -29.4 -26.3
-34.5 -36 -29.8 -16.3 -5.6 5.3 12.9 7.9 2.3 -11 -21.6 -31.1
-28.7 -29.9 -24.6 -15 -1.8 8.7 13.7 7.8 4.9 -9 -22.6 -28.1
-32.9 -27.9 -24.1 -19.3 -4.7 7.2 16.1 8.7 1.9 -13.4 -25.1 -26.4
-25.1 -41 -23.5 -9.5 -5.1 7.1 13.4 9.4 2.6 -7 -24.8 -31.2
-27.7 -30.8 -23.5 -15 -2.2 7 11.8 10.4 3.6 -7.5 -22.2 -30.3
-26.2 -35.7 -26.7 -11.2 -4.4 8.2 15.3 10.1 4.4 -6.8 -24.2 -36.8
-31.1 -36.4 -22 -11.6 -1.1 8.3 12.7 9.6 1.2 -9.3 -22.9 -34.4
-27.9 -33.1 -16 -8.6 0 9.6 12.9 10.5 4.6 -7.6 -22.2 -24
-30.9 -24.2 -21.9 -12.7 -2.6 10.7 16 9.9 5.3 -9.2 -23.3 -29.8
-33.8 -34.8 -28.9 -12.6 0.8 8.6 15.9 10.5 1.3 -9.6 -20 -29.4
