0.9 1.31 1.35 1.35 1.01 1.15 2.25 2.93 2.56 2.42 2.42
1.15 1.35 1.31 0.32 0.45 0.64 0.71 1.35 2.04 1.8 2.13
2.25 1.01 0.32 0.71 1.15 1.15 0.71 0.71 1.01 0.9 1.35
2.25 1.01 1.01 0.95 0.71 1.01 1.15 1.01 0.95 0.64 0.71
2.42 2.48 2.01 2.23 1.62 1.01 0.71 1.31 1.31 1.59 1.59
3.38 2.93 2.62 1.94 1.15 1.62 2.88 2.13 3.18 2.25 2.29
3.27 3.18 3.2 2.48 1.71 3.44 3.62 4.46 3.62 2.42 3
3.44 3.62 2.56 2.93 3.51 3.84 2.84 3.02 2.56 3.24 3.55
3.71 3 1.62 3.02 3.55 3.02 1.94 1.31 1.8 2.25 3.38
3.42 2.32 1.27 2.23 2.56 1.27 1.01 1.01 1.15 2.01 3.42
2.62 1.62 1.62 1.31 1.01 0.71 0 0.45 1.15 2.01 2.88
