Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
2.7 12.9 10.9 14 20.8 3.5 42.9 16.6 38.6 19.3 18.9 13.9
9.9 4.4 9.7 20.4 16.6 7.5 18.6 35.5 10.1 48.5 14.9 28.3
12 4.7 5.3 10.9 10.5 16.3 34.7 40 29 25.3 14.8 15.3
12.6 7.9 12.4 9 16.8 12.3 35.7 45.6 15.4 28.3 13.6 9.2
18.3 19.5 5.2 0.8 24 7.7 32 46.9 32.2 23.2 30.4 8.5
20.4 8.2 8.4 9.2 34.8 14.2 40.6 59.3 25.9 24.4 19.1 6.8
27.5 11.7 10 7.8 15.3 37.6 31.3 37.9 19.3 34 17.9 20.4
17.2 7.8 13.9 17.4 12.1 16.6 39.4 47.8 37.2 19.9 20.8 8.7
23.7 8.4 5.5 9 16.7 48.6 34.7 42.8 21 39.5 28.3 11.8
32.5 13 16.8 10.7 9.9 25.3 50.9 34.9 16.8 27.5 14.9 15.5
16.7 16.3 12.5 11.4 29.5 21.3 21.3 19.9 11.8 20.7 20.7 16.2
4.7 12.5 3.5 6.7 8.9 13.9 6.3 18.9 37.6 18.6 16 6.1
