Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
22.19 7.14 16.75 20.66 27.65 4.31 65.24 54.17 7.79 15.52 18.94 13.83
16.13 24.54 15.3 17.76 43.28 26.62 25.77 42.77 49.06 9.21 16.07 6.06
13.07 4.13 6.1 4.88 45.3 41.25 43.64 25.12 45.28 28.71 22.14 6.77
17.64 6.51 15.2 28.04 12.87 18.54 70.12 40.42 35.08 47.85 14.65 17.07
17.64 12.17 8.06 31.55 20.5 44.53 35.93 81.34 24.11 19.69 11 11.81
10.39 9.21 8.49 10.8 24.83 12.01 44.81 20.26 35.27 34.54 29 16.02
11.41 10.4 17.92 29.82 35.76 36.85 7.77 47.83 43.64 32.43 21.38 12.6
21.29 9.78 22.31 19.59 29.44 23.06 29.05 28.97 19.57 39.87 15.27 23.37
23.56 15.72 20.85 8.42 54.44 17.76 20.5 37.78 23.9 25.62 17.95 13.85
17.37 7.25 9.77 27.39 40.15 16.27 16.93 13.96 53.21 30.73 15.74 11.47
24.25 6.32 17.2 18.54 29.25 3.73 49.33 53.44 10.34 17.08 14.63 14.17
8.09 2.53 6.12 23.87 52.14 32.32 28.21 42.49 40.2 10.09 16.04 5.53
9.57 3.82 4.46 5.4 46.82 41.29 42.11 30.02 37.57 29.88 25.86 6.15
12.69 6.31 11.5 26.22 12.61 18.56 67.67 48.3 28.87 51.67 15.81 15.64
12.61 11.82 5.92 28.65 21.11 44.39 34.86 97.07 21.15 20.19 10.24 10.79
7.45 8.89 6.1 11.61 26.2 12.37 44.04 21.75 29.71 38.07 30.76 13.5
9.23 8.95 13.59 32.67 36.85 36.88 7.5 57.15 36.67 31.87 23.27 11.71
15.31 9.49 17.43 21.48 29.97 23.08 28.03 34.62 16.1 41.09 16.31 21.48
16.99 15.64 15.64 11.03 53.13 17.94 22.15 41.08 20.26 25.77 18.7 12.82
12.7 6.3 10.28 25.59 40.43 16.3 16.39 16.9 44.68 30.97 16.5 10.83
17 6.12 12.78 21.32 29.45 3.74 47.6 63.86 8.5 17.79 15.59 12.91
6.63 1.77 6.96 23.05 50.71 41.71 27.19 48.89 38.47 13.13 16.66 4.77
7.81 2.65 5.07 5.59 47.4 52.03 40.12 34.73 35.95 40.75 23.02 5.55
10.35 4.67 12.37 25.37 17.71 18.74 65.2 55.57 27.96 70.72 16.87 13.3
11.53 6.69 6.73 27.7 20.5 57.29 33.59 111.69 20.24 24.7 10.64 9.35
6.05 6.21 6.97 11.7 25.48 15.96 42.43 25.03 28.93 46.22 31.39 11.86
7.45 6.48 18.75 29.12 41.75 42.39 8.04 63.74 35.27 35.13 23.3 11.46
12.07 6.24 19.51 24.03 28.12 28.91 27.01 39.82 15.48 52.51 16.79 19.52
12.91 10.31 17.58 11.18 52.69 23.15 21.35 47.27 19.95 28.47 19.39 11.02
10.27 4.61 11.15 25.37 39.86 21.04 15.79 19.44 43.91 34.8 17.03 9.39
13.86 4.24 14.52 23.39 27.73 4.82 45.87 73.61 8.26 24.71 13.45 11.43
7.83 1.2 7.72 24.86 66.47 40.35 42.98 50.31 41.01 10.09 12.93 4.18
9.49 1.61 4.59 6.18 63.4 50.15 63.62 34.8 38.94 30.58 24.01 4.86
12.54 2.87 11.37 28.67 22.09 18.06 103.39 55.69 30.45 50.78 14.61 11.94
14.02 4.25 6.02 32.26 32.02 50.97 60.69 104.38 25.13 13.95 8.59 8.37
7.21 3.94 6.26 12.84 34.49 22.93 59.16 25.3 31.58 34.94 29.34 9.91
9.41 3.9 17.31 32.13 55.58 40.86 12.75 63.87 37.9 28.42 20.69 10.69
14.63 3.92 18.15 26.57 36.59 27.87 42.84 39.9 16.86 39.8 14.07 17.61
15.6 6.65 15.97 15.39 64.07 24.02 32.11 47.36 21.51 23.17 15.64 9.85
12.26 2.88 12.05 28.12 50.4 20.28 25.04 19.64 46.96 28.87 13.43 9.52
15.37 2.58 13.23 25.74 35.28 4.65 72.73 73.76 9 18.65 11.21 10.09
6.41 1.28 8.56 22.18 56.62 45.88 56.23 70.43 47.16 13.34 12.09 2.95
7.75 1.72 5.1 5.87 54 56.95 83.36 63.54 40.69 32.02 20.93 3.52
10.15 3.86 14.8 21.68 19.35 20.54 135.28 81.52 38.74 61.46 13.16 8.86
12.81 3.33 6.68 28.73 27.23 57.96 79.4 146.13 28.82 17.1 8.04 5.96
5.86 4.21 6.96 12.12 29.4 26.07 77.4 35.42 34.93 44.65 27.16 7.18
7.6 4.17 19.64 30.69 52.84 40.33 18.28 88.99 40.49 34.25 18.73 8.48
11.84 4.18 19.49 25.96 30.88 31.6 59.05 51.93 20.26 50.93 13.54 13.18
11.65 7.08 17.63 14.47 55.25 27.31 42.01 66.3 23.29 27.77 14.63 6.91
9.94 3.05 13.1 25.84 43.42 23.06 32.76 27.5 51.04 34.94 12.52 6.95
12.44 2.76 14.7 26.03 29.39 6.22 94.29 102.95 10.64 23.97 10.23 7.92
2.27 1.11 6.02 21.03 56.35 86.21 49.76 68.78 45.9 13.26 10.94 1.85
3.14 1.5 3.25 6.52 53.99 98.81 79.55 56.01 43.13 30.84 23.01 2.33
4.03 3.39 10.36 21.91 19.62 35.63 129.1 71.85 41.55 57.48 13.33 6.23
4.95 3.01 4.2 28.38 26.81 100.34 82.39 121.77 34.42 11.8 7.78 4.22
2.2 3.87 4.06 13.23 31.22 43.02 73.24 34.64 34.05 45.94 26.45 4.36
2.95 3.59 13.97 34.65 52.88 69.97 17.44 78.44 42.19 33.74 19.22 6.45
4.65 3.71 14.41 28.98 31.04 54.83 56.35 45.77 21.63 48.62 13.49 9.44
4.74 6.49 12.22 16.7 54.73 66.93 27.06 58.44 25.78 25.74 14.12 4.87
3.62 2.77 12.51 26.19 43.61 45.69 27.59 25.01 52.7 33.85 12.65 5.98
3.93 2.41 9.72 29.73 29.69 10.79 89.98 90.74 11.42 22.87 10.18 5.38
1.29 0.51 3.88 23.84 93.36 74.59 69.79 85.21 66.71 12.45 9.2 1.58
1.76 0.67 2.08 7.42 90.21 85 111.54 72.79 58.36 27.95 24.83 1.92
2.15 1.52 7.46 24.48 29.98 29.81 181.07 97.97 54.98 54.89 10.3 5.59
