Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
10 5 9.5 25.1 18.1 6 20.8 46.2 9.9 60.5 22.2 39.3
17.7 6.6 5.8 11.8 7.2 21.2 44 50.2 34.6 23.6 15.9 14.6
12.7 7.3 13.4 10.4 13.6 15.7 28.4 39.8 18.9 32.7 13.8 10.7
16.6 23.6 7.3 0.5 29.5 6.7 43.3 53.1 45.1 26.7 35.9 12.6
23.4 7.6 9 7.8 37.3 13.9 53.2 79.3 22.8 30.6 21.3 10.7
30.3 13.6 10.9 7.7 12.7 43.9 28.1 31.8 23.8 31.1 20.6 28.1
19.4 9 16.9 17.1 9.2 14 50.3 38.7 46.4 15.8 21.6 6.7
38.2 5 4.1 7.8 16.5 62.9 38.2 45.9 29.4 43.6 31 14.3
36.9 16.2 20 11.5 7.8 25.8 60.3 37.8 14.9 30.1 15.5 16.5
16.8 18.6 13.7 8.7 29.6 22 24.6 12.6 11.8 25.3 21.9 19.6
6.2 19.6 4.9 6.2 5.6 14.9 6.2 18 30.9 19 19.1 6
