Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-33.1 -26.4 -23.4 -21.7 -8.4 7.2 15.7 8.3 2.3 -17.9 -18.6 -25.5
-21.7 -38.1 -33.9 -17 -8.3 7.3 14.8 9.9 1 -12.1 -28.3 -36.4
-34.5 -33.4 -27.3 -15.6 -6.6 8.2 12.6 12.2 -0.3 -10.2 -25.5 -23.3
-34.8 -28.1 -22.8 -11.2 -3.8 7.4 18.4 7.3 1.3 -11.9 -23.6 -26.5
-36.6 -28 -31 -18.3 -5.9 5.2 11.5 7.8 4.1 -14.7 -28 -35.5
-37.6 -36 -32.6 -17.8 -7.1 3.8 11.9 7.6 5.3 -6.2 -25.3 -26.8
-35.1 -34.4 -28.2 -18.2 -4.4 7 13 8.5 2.3 -12.5 -29.2 -29.3
-30.8 -30.2 -21.4 -15.6 -5.5 1.9 12.4 8.9 4.7 -6.3 -28.7 -24.1
-29.9 -35.3 -25.4 -19.7 -5.1 5.1 15.2 10.4 4.9 -6.6 -15.9 -29.5
-33.2 -34.7 -23.8 -15.7 -1.9 5.8 14.7 9.7 1.1 -5.2 -25 -28.1
-38 -36.2 -27 -17 -7.4 5 15.1 7.5 -0.7 -9.9 -28.6 -36.3
-27.6 -31.7 -28.3 -14.6 -4 10.6 14.3 9.8 4.1 -8.8 -30.3 -34.7
-25.9 -30.5 -25.4 -16.2 -5.4 3.4 12.9 10.1 3 -12.2 -26.5 -28.7
-31.5 -23.4 -23.5 -7.7 -2.9 9.9 12.5 11.2 3.2 -8.2 -25.4 -35.7
-24.8 -30.9 -34.6 -22.2 -3.3 8.4 13.5 8.8 3.9 -11.6 -27.8 -22.1
-37.7 -36.6 -34.3 -22.3 -5.5 11 16.8 11.1 2.5 -8.1 -28.2 -34.5
-32.4 -29.1 -27.9 -16.3 -5.1 8.4 12.9 9.5 2.8 -14.6 -25.2 -35.8
-36.2 -27.6 -26.9 -20.4 -9.6 7.2 12.2 10.6 1.9 -11.1 -24.3 -22.2
-25.3 -31.7 -22.9 -12.2 -5.5 7.3 12.4 10.6 4.2 -14 -21.9 -29.5
-32.3 -35.1 -22.9 -16.2 -6.8 5.1 12.5 7.9 1.6 -11.6 -25 -30.5
-38.3 -37.6 -22 -19.4 -7.2 3.8 13.5 6 -0.2 -8.3 -27.3 -30.7
-27.4 -30.5 -22.5 -18.5 -6.5 5.5 8.2 8.3 1.8 -13.9 -23.8 -30.6
-33 -33.9 -26.5 -20.6 -5.5 2.5 10.8 8.3 -2.1 -19.6 -28.1 -31.3
-36.3 -37.9 -28.7 -16.7 -6.9 3.7 14.4 8.3 4.1 -13.3 -23.2 -29.1
-36.7 -31.7 -19 -12.3 -4.8 9.8 13 8.1 2.2 -13.3 -32.5 -33.7
-33.1 -27.5 -23.4 -19.1 -5.2 0.8 9.2 6.5 -1.7 -13.2 -32.4 -28.1
