9999 223.85 223.85 223.64 220.78 220.78 9999 9999 9999 221.63 223.78 223.78 224.85 222.16 222.16 217.39 208.91 208.91 207.91 208.08 208.08 208.5 208.51 208.51 211.83 216.14 222.16 222.16 223.5 222.65 222.65 220.67 214.32 214.32 214.55 213.75 213.75 214.2 217.45 217.45 221.23 221.35 221.35 219.55 213.08 213.08 213.59 209.89 209.89 210.8 213 215.56 215.56 219.63 221.19 221.19 222.62 222.65 222.65 222.07 221.88 221.88 220.4 9999 219.69 222.52
219.22 223.85 223.85 223.64 220.78 9999 9999 9999 9999 221.63 223.78 223.78 224.85 222.16 222.16 221.5 217.75 217.75 211.59 211 211 211.9 215.45 215.45 220.78 221.21 223.21 223.21 224.36 222.3 222.3 219.95 214.23 214.23 214.02 215.1 215.1 215.74 216.26 216.26 220.54 221.44 221.44 220.54 214.76 214.76 213.59 209.89 209.89 210.8 213 215.56 215.56 219.63 221.19 221.19 222.62 222.65 222.65 221.3 221.31 221.31 221.83 221.56 221.56 222.73
219.22 224.13 224.13 223.06 215.57 9999 9999 9999 9999 222.11 224.71 224.71 226.56 223.92 223.92 221.33 220.67 220.67 217.9 218.45 218.45 219.75 222.15 222.15 224.3 223.87 223.97 223.97 223.86 221.61 221.61 218.91 213.34 213.34 214.02 215.1 215.1 215.74 216.26 216.26 220.54 221.44 221.44 220.54 214.76 214.76 213.01 209.42 209.42 209.88 211.11 211.8 211.8 216.1 218.63 218.63 221.97 222.18 222.18 221.93 221.51 221.51 222.09 222.07 222.07 221.34
218.28 221.09 221.09 221.15 216.56 9999 9999 9999 214.01 216.82 216.82 216.82 225.71 223.96 223.96 223.63 222.63 222.63 220.33 219.59 219.59 221.81 222.34 222.34 223.58 223 223.71 223.71 223.51 217.12 217.12 214.33 214.08 214.08 214.22 213.82 213.82 214.91 217.4 217.4 219.22 223.92 223.92 223.45 219.57 219.57 215.09 208.64 208.64 208.72 208.49 210 210 210.96 214.52 214.52 220.39 221.03 221.03 221.91 221.51 221.51 221.87 221.89 221.89 220.21
9999 221.09 221.09 221.15 216.56 216.56 213.74 216.89 216.89 9999 9999 9999 223.24 224.34 224.34 224.98 224.29 224.29 223.47 223.15 223.15 224.08 223.61 223.61 222.94 223.83 223.75 223.75 221.29 211.69 211.69 209.63 212.42 212.42 212.69 213.33 213.33 214.67 217.14 217.14 219.22 223.92 223.92 223.45 219.57 219.57 215.09 208.64 208.64 208.72 208.49 207.79 207.79 208.76 211.11 211.11 218.11 219.53 219.53 221.8 221.31 221.31 221.92 222.15 222.15 9999
217.02 219.39 219.39 220.45 220.75 220.75 219.44 220.63 220.63 9999 9999 9999 222.02 227.21 227.21 223.27 224.44 224.44 224.42 225.17 225.17 224.79 225.03 225.03 224.56 224.56 223.75 223.75 221.29 211.69 211.69 209.63 212.42 212.42 212.69 213.33 213.33 214.67 217.14 217.14 220.51 226.11 226.11 224.35 217.08 217.08 212.65 208.31 208.31 208.87 207.65 207.3 9999 9999 209.18 209.18 213.91 216.47 216.47 221.18 221.94 221.94 221.83 221.38 221.38 219.98
221.57 219.64 219.64 221.24 220.95 220.95 221.58 221.76 221.76 9999 9999 9999 221.3 223.57 223.57 222.39 222.74 222.74 222.7 222.89 222.89 223.99 224.24 224.24 224.17 223.77 219.29 219.29 214.4 207.5 207.5 207.17 9999 206.64 206.97 207.09 207.09 207.95 219.27 219.27 223.67 223.14 223.14 221.12 207.14 207.14 208.03 209.07 209.07 208.13 207.53 206.79 206.79 9999 9999 207.55 209.86 211.44 211.44 220.1 222.73 222.73 222.57 221.02 221.02 222.54
221.57 221.26 221.26 220.67 222.23 222.23 220.9 222.13 222.13 215.98 9999 215.25 221.05 221.51 221.51 218.17 217.75 217.75 216.79 217.65 217.65 220.02 220.8 220.8 221.59 220.71 215.22 215.22 210.53 206.81 206.81 9999 9999 9999 9999 9999 9999 9999 219.27 219.27 223.24 223.14 223.14 209.72 207.14 207.14 207.51 208.76 208.76 208.21 207.72 207.12 207.12 9999 9999 206.88 208.87 213.86 213.86 219.05 222.59 222.59 223.6 222.12 222.12 222.73
223.52 222.02 222.02 222.16 220.9 220.9 221.21 221.12 221.12 220.21 217.44 217.44 221.08 220.02 220.02 215.54 213.28 213.28 212.73 214.27 214.27 220.02 221.16 221.16 221.59 218.07 215.22 215.22 206.7 206.81 206.81 206.19 206.63 206.63 9999 9999 9999 9999 214.86 214.86 223.67 223.42 223.42 208.95 207.31 207.31 208.88 208.96 208.96 208.8 208.11 207.15 9999 9999 9999 9999 207.78 214.45 214.45 218.58 223.76 223.76 224.43 222.12 222.12 222.73
222.39 221.52 221.52 221.66 220.97 220.97 220.86 221.77 221.77 222.62 220.35 220.35 219.52 209.88 209.88 208.14 206.37 206.37 207.33 206.8 206.8 206.83 208.96 208.96 210.55 210.21 208.08 208.08 207.43 206.81 206.81 207.54 207.44 207.44 206.27 9999 9999 208.21 212.16 212.16 219.83 217.99 217.99 207.71 207.36 207.36 209.46 210.13 210.13 209.39 208.2 207.24 207.24 9999 207.65 207.65 209.89 216.16 216.16 218.96 224.02 224.02 223.79 217.39 217.39 215.31
