Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-30.6 -18.6 -24.7 -19.2 -6.3 5.6 13.5 8.8 1.2 -9.7 -25.6 -32.7
-36.9 -23.5 -33.6 -22.1 -1.9 6.8 13.3 9.6 1.8 -14.9 -26.8 -30.1
-39.9 -34 -25.9 -13.9 -6.8 4.8 15.4 8.5 5.5 -12 -27.1 -24.9
-21.6 -26.8 -33.2 -18.3 -4.2 6.9 12.9 6.3 2 -14.1 -23.5 -30.3
-26 -32 -23.5 -13 -5.9 6.8 12.1 10.2 3.8 -14.3 -22.5 -29.9
-36.5 -28.3 -27.5 -21 -9.9 6.9 12 10.2 1.6 -11.5 -24.8 -22.8
-32.7 -29.8 -28.5 -16.9 -5.5 8 12.6 9.3 2.5 -14.9 -25.6 -35.8
-37.8 -36.8 -34.5 -22.7 -5.9 10.5 16.3 10.7 2.2 -8.6 -28.6 -34.5
-25.5 -31.2 -34.9 -22.7 -3.9 8 13.1 8.5 3.6 -11.8 -28.2 -22.6
-31.9 -24 -24.3 -8.6 -3.4 9.5 12.1 10.9 2.8 -8.7 -25.8 -35.8
-26.6 -31 -26 -16.8 -5.9 3 12.5 9.8 2.7 -12.5 -27 -29
-28.2 -32.1 -28.7 -15.3 -4.6 10 13.9 9.5 3.7 -9.3 -30.5 -34.8
-38.2 -36.4 -27.5 -17.6 -7.8 4.6 14.7 7.2 -0.9 -10.4 -28.9 -36.4
-33.7 -34.9 -24.5 -16.4 -2.6 5.3 14.2 9.4 0.8 -5.9 -25.4 -28.5
-30.5 -35.7 -26 -20.3 -5.5 4.7 14.8 10.1 4.5 -7.3 -16.7 -29.8
-31.5 -30.7 -22.1 -16.3 -6.1 1.5 12 8.6 4.3 -6.9 -29 -24.8
-35.3 -34.7 -28.8 -18.7 -4.9 6.6 12.6 8.3 2 -12.9 -29.5 -29.6
-38 -36 -32.7 -18.3 -7.4 3.5 11.6 7.4 5 -6.6 -25.8 -27.4
-37 -28.3 -31.4 -18.8 -6.2 4.8 11.2 7.6 3.8 -14.7 -28.1 -35.5
-35.2 -28.5 -23.4 -11.8 -4.1 6.9 17.9 7.2 1 -12.2 -23.7 -26.7
-34.7 -33.6 -28.2 -16.1 -6.8 7.7 12.4 11.8 -0.4 -10.3 -25.7 -23.4
-22.3 -38.3 -34 -17.6 -8.8 6.8 14.4 9.6 0.8 -12.4 -28.8 -36.4
-33.3 -26.7 -23.8 -22.1 -8.8 6.7 15.1 8.1 1.9 -18.3 -19.1 -25.5
-34.2 -35 -27.7 -21.3 -4.9 9.1 13.3 10.9 -4 -20.1 -33.4 -35.4
