V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
12.69 6.31 11.5 26.22 12.61 18.56 67.67 48.3 28.87 51.67 15.81 15.64
12.61 11.82 5.92 28.65 21.11 44.39 34.86 97.07 21.15 20.19 10.24 10.79
7.45 8.89 6.1 11.61 26.2 12.37 44.04 21.75 29.71 38.07 30.76 13.5
9.23 8.95 13.59 32.67 36.85 36.88 7.5 57.15 36.67 31.87 23.27 11.71
15.31 9.49 17.43 21.48 29.97 23.08 28.03 34.62 16.1 41.09 16.31 21.48
16.99 15.64 15.64 11.03 53.13 17.94 22.15 41.08 20.26 25.77 18.7 12.82
12.7 6.3 10.28 25.59 40.43 16.3 16.39 16.9 44.68 30.97 16.5 10.83
17 6.12 12.78 21.32 29.45 3.74 47.6 63.86 8.5 17.79 15.59 12.91
6.63 1.77 6.96 23.05 50.71 41.71 27.19 48.89 38.47 13.13 16.66 4.77
7.81 2.65 5.07 5.59 47.4 52.03 40.12 34.73 35.95 40.75 23.02 5.55
10.35 4.67 12.37 25.37 17.71 18.74 65.2 55.57 27.96 70.72 16.87 13.3
11.53 6.69 6.73 27.7 20.5 57.29 33.59 111.69 20.24 24.7 10.64 9.35
6.05 6.21 6.97 11.7 25.48 15.96 42.43 25.03 28.93 46.22 31.39 11.86
7.45 6.48 18.75 29.12 41.75 42.39 8.04 63.74 35.27 35.13 23.3 11.46
12.07 6.24 19.51 24.03 28.12 28.91 27.01 39.82 15.48 52.51 16.79 19.52
12.91 10.31 17.58 11.18 52.69 23.15 21.35 47.27 19.95 28.47 19.39 11.02
10.27 4.61 11.15 25.37 39.86 21.04 15.79 19.44 43.91 34.8 17.03 9.39
13.86 4.24 14.52 23.39 27.73 4.82 45.87 73.61 8.26 24.71 13.45 11.43
7.83 1.2 7.72 24.86 66.47 40.35 42.98 50.31 41.01 10.09 12.93 4.18
9.49 1.61 4.59 6.18 63.4 50.15 63.62 34.8 38.94 30.58 24.01 4.86
12.54 2.87 11.37 28.67 22.09 18.06 103.39 55.69 30.45 50.78 14.61 11.94
14.02 4.25 6.02 32.26 32.02 50.97 60.69 104.38 25.13 13.95 8.59 8.37
7.21 3.94 6.26 12.84 34.49 22.93 59.16 25.3 31.58 34.94 29.34 9.91
9.41 3.9 17.31 32.13 55.58 40.86 12.75 63.87 37.9 28.42 20.69 10.69
14.63 3.92 18.15 26.57 36.59 27.87 42.84 39.9 16.86 39.8 14.07 17.61
15.6 6.65 15.97 15.39 64.07 24.02 32.11 47.36 21.51 23.17 15.64 9.85
12.26 2.88 12.05 28.12 50.4 20.28 25.04 19.64 46.96 28.87 13.43 9.52
15.37 2.58 13.23 25.74 35.28 4.65 72.73 73.76 9 18.65 11.21 10.09
6.41 1.28 8.56 22.18 56.62 45.88 56.23 70.43 47.16 13.34 12.09 2.95
7.75 1.72 5.1 5.87 54 56.95 83.36 63.54 40.69 32.02 20.93 3.52
10.15 3.86 14.8 21.68 19.35 20.54 135.28 81.52 38.74 61.46 13.16 8.86
12.81 3.33 6.68 28.73 27.23 57.96 79.4 146.13 28.82 17.1 8.04 5.96
