114.97 113.78 115.68 117.3 114.67 113.96 114.59 115.48 120.38 118.13 115.89
118.39 119.04 118.72 118.51 118.39 117.18 114.45 117.36 119.5 122.65 119.09
114.46 118.82 117.52 120.16 119.81 120.36 117.58 118.01 117.21 118.93 117.88
114.17 110.68 117.01 117.52 112.57 114.15 118.27 118.2 118.03 116.24 117.95
111.85 109.78 108.44 110.21 107.56 107.36 110.78 115.28 117.81 116.18 116.99
109.84 109.79 108.79 108.86 112.51 107.61 107.14 107.41 109.99 115.69 115.98
113.77 113.48 111.09 110.48 115.25 107.62 107.43 107.32 109.7 113.83 116.64
113.77 111.61 111.62 110.5 112.99 110.93 107.11 9999 9999 114.26 116
113.05 114.28 113.14 111.12 110.45 112.3 110.58 107.14 9999 116.8 118.44
114.43 114.28 114.95 112.73 109.2 106.83 110.96 111.51 109.66 117.52 114.89
116.75 116.52 116.75 113.85 106.75 106.07 106.09 110.42 112.71 110.76 111.31
