2.25 1.59 1.91 2.13 1.35 2.04 1.62 1.59 1.59 1.42 2.04 1.42 1.15 1.15 2.25 2.23 1.91 2.56 2.62 3.02 3.87 4.55 4.69 3.44 3 3 1.59 2.13 1.42 1.27 1.59 2.93 3.83 2.56 2.13 4.55 3.42 2.72 3.32 3.87 2.42 2.93 4.76 3.71 3.83 4.13 4.18 4.93 4.26 5.54 2.88 3.2 3.27 4.32 3.32 3.27 5.4 4.55 4.13 5.24 5.02 3.32 1.42 3.87 5.72 5.25 4.76 1.62 0.32 2.01 2.42 1.8 2.04 2.29 1.86 1.59 1.59 2.25 4.14 3.02 2.13 1.35 1.94 2.56 3 1.42 5.62 6.06 2.32 3.87 3.51 1.86 1.59 2.56 3.55 4.72 4.69 5.61 5.72 6.16 4.97 4.97 3.32 3.51 3.93 6.16 6.68 2.32 1.27 2.04 2.56
1.86 1.42 2.86 2.72 1.59 1.27 1.27 1.59 1.01 0.95 2.04 2.48 2.62 2.88 3.83 3.87 3.2 3.55 3.51 2.62 1.59 2.93 3.44 3.87 3.87 2.42 2.29 2.84 2.01 2.23 3.62 4.55 2.04 0.32 2.01 3.32 2.29 3.71 4.24 3.83 4.13 3.6 3.83 3.18 3.6 4.07 4.26 5.54 4.13 3.81 6.41 4.24 3.72 3.42 3.98 3.44 5.21 3.55 3.81 3.93 4.72 4.41 3.42 0.71 3 3.84 3.6 2.56 0.95 2.01 2.32 1.42 1.94 1.94 0.64 1.27 1.94 1.94 2.93 3.44 3 1.8 1.35 2.56 3.18 1.71 5.54 6.62 2.29 3.24 4.32 3.27 3.18 3.87 4.32 4.97 4.55 5.61 6.78 5.46 4.96 6.16 3.83 5.09 4.81 6.95 5.02 4.72 3.18 2.56 1.15
2.25 1.27 0.32 1.59 2.13 2.25 2.04 2.04 1.71 1.59 1.71 3.51 4.13 4.14 2.93 3.24 2.88 2.62 2.88 2.74 1.91 3.13 4.42 3.83 3.81 2.25 2.29 2.13 1.62 1.35 4.46 4.81 1.62 1.01 2.42 1.86 3.13 4.07 4.13 4.81 6.66 4.81 4.27 3.44 4.07 4.72 4.58 5.46 3.98 4.32 5.4 4.58 4.58 3.18 2.56 3.38 3.88 2.93 3.2 3.55 4.13 3.88 4.51 2.29 1.01 2.23 3.2 2.25 1.01 2.62 2.42 1.35 1.42 1.71 1.42 2.13 1.94 1.27 1.35 3.02 3.38 3.18 1.15 1.86 3.24 1.8 4.42 6.66 4.51 3.18 4.62 4.86 4.76 4.49 4.62 4.72 4.42 5.61 7.18 4.58 3.88 6.85 5.75 6.06 5.48 6.53 3.44 2.56 3.93 2.32 1.31
0.95 0.32 0.45 1.71 2.32 1.86 2.54 2.84 2.72 2.86 3.24 3.93 3.5 3.93 2.32 2.01 2.56 2.32 1.91 3.2 4.14 3.44 4.49 3.13 1.01 2.13 2.13 2.13 1.31 1.42 3.87 4.84 2.93 0.32 2.62 2.88 2.93 3.02 3.42 4.58 3.81 6.1 3.62 3.44 4.96 4.32 4.51 4.97 3.88 4.32 2.56 5.68 5.21 4.76 3.13 3.18 3.5 1.86 3.55 2.88 3.71 3.38 3.88 3.71 1.31 2.32 2.32 1.94 1.94 3.24 2.62 1.15 1.01 0.71 2.42 2.25 1.59 1.71 1.91 2.32 3.18 3.6 2.7 1.42 2.23 1.15 3.87 5.98 4.27 5.02 7.62 6.77 4.46 4.14 4.32 4.84 4.62 6.5 6.78 3.55 3.98 7.45 7.28 4.76 3.83 2.29 2.13 0.45 0.45 1.27 1.31
0.64 0.32 0.45 1.15 2.42 3.2 2.01 2.84 3.2 3.55 3.83 2.54 2.23 2.72 3.42 2.88 3.18 2.54 2.62 3.24 3.2 3.71 3.83 2.01 1.15 2.62 3.13 2.25 1.86 2.25 3.42 4.51 4.32 2.25 1.94 3.72 2.56 2.62 4.55 3.42 2.13 3.51 3.2 3.88 4.49 3.88 4.07 4.26 4.41 4.26 3.18 4.24 6.34 6.59 5.12 3.24 1.62 4.14 3.15 2.42 2.93 3.32 3.2 3.02 1.62 1.86 2.42 2.29 2.29 3.02 2.25 1.27 0.71 0.71 1.42 2.74 2.62 2.62 2.56 2.42 3.15 3.6 3.18 2.25 1.59 0.9 1.94 4.51 3.71 4.55 6.06 7.55 5.96 4.46 5.02 4.26 4.42 5.85 4.84 2.7 4.49 5.71 6.02 4.51 4.26 3.42 3.24 3.18 1.15 0.32 1.42
0.32 0.71 0.71 0.71 1.27 2.29 1.71 2.23 3.18 2.93 2.56 2.32 2.23 2.23 3.51 3.87 3.24 3.18 3.24 2.25 2.56 4.13 2.93 2.72 2.72 2.72 2.62 1.62 2.13 2.48 3.38 4.07 4.14 3.83 1.62 2.88 2.93 2.42 5.08 4.45 2.25 1.31 2.32 2.93 4.07 3.38 3.88 4.72 4.07 3.55 2.84 1.71 4.26 5.17 5.65 4.41 2.54 3.62 3.24 0.9 3.18 4.18 3.2 1.94 2.25 2.74 3.6 3.62 3 3.38 1.71 1.59 2.13 2.01 1.15 1.94 2.01 2.32 2.56 2.72 3.38 3.88 4.14 2.62 2.62 2.13 0.45 2.42 3.27 3.42 1.86 3.44 6.12 5.4 4.81 3.72 3.71 4.07 3.44 3.42 2.7 1.62 2.56 2.13 2.23 2.93 2.56 3.71 3.83 1.59 0.71
0.64 0.45 0.9 1.01 0.45 0.64 1.94 1.94 2.56 2.23 1.62 2.56 2.54 2.88 2.88 3.55 3.55 3.5 2.88 2.54 3.13 3.84 2.84 2.72 2.93 2.62 2.56 2.56 2.32 2.29 3.18 3.84 3.55 2.93 2.84 3 4.26 3.18 4.14 3.5 2.25 2.32 1.62 2.62 3.55 2.93 4.32 4.49 3.15 3.18 3 2.74 2.74 4.27 4.07 3.83 2.84 1.86 2.29 1.01 3.98 3.5 2.42 2.25 3.84 3.98 4.76 3.71 3.55 2.72 1.71 2.84 1.8 1.8 2.84 1.31 1.01 2.23 2.86 2.72 3 3.27 4.07 3.42 2.56 2.74 2.42 0.32 1.62 3.81 2.25 2.93 4.13 4.49 4.14 3.51 2.84 3.38 3.18 2.48 1.15 1.42 3 1.94 0.32 1.62 1.35 2.7 3.18 2.29 1.71
1.59 1.31 1.31 0.64 0.71 0.45 1.42 1.71 1.31 1.31 1.27 2.25 2.56 2.56 1.94 2.23 2.93 2.93 3.2 4.14 4.32 3.13 2.72 2.84 3.32 3.55 3.24 3.55 3.55 3.18 2.93 3.62 3.2 2.04 2.01 3.62 3.93 2.72 3.18 2.01 1.59 1.94 2.01 3.2 3.2 3.5 4.81 3.42 2.13 2.72 3.13 1.8 1.8 3.6 4.14 3.44 2.04 1.62 0.9 1.8 2.32 2.29 2.72 3.55 3.84 4.26 3.88 2.74 2.72 2.01 1.94 1.15 1.86 0.71 2.25 1.94 1.42 2.29 2.54 2.84 3.18 3 3.18 3.13 2.56 2.29 2.48 1.59 2.25 3.18 3.55 4.13 3.24 2.88 2.56 2.25 1.71 2.13 2.23 1.15 2.13 2.84 2.29 0.71 0.9 1.94 2.01 1.15 3.84 3.62 2.42
1.59 1.86 1.86 1.15 0 0.71 1.01 0.45 0.32 0.64 1.42 1.59 1.62 1.01 0.95 0.71 0.95 1.94 3.02 4.24 4.13 3.5 3.32 3.27 3.27 3.55 3.2 2.88 3.84 4.96 4.18 3.87 2.88 0.9 1.01 2.25 1.91 3.02 3.24 2.04 1.59 1.59 1.71 3.55 3.51 3.2 4.93 3.72 2.13 2.93 2.93 1.86 0.45 2.56 3.55 3.88 2.48 1.8 1.35 0.45 0.71 1.94 2.93 3.24 3.71 3.55 2.84 2.84 2.84 1.94 1.15 1.35 1.31 1.59 2.93 2.04 2.29 2.48 1.71 2.42 2.74 3.27 3.62 2.56 2.01 3.18 3.27 2.04 2.93 3.24 2.01 3.2 3.42 2.56 1.35 0.71 0 1.35 2.32 3.18 2.62 2.01 1.01 1.15 1.59 3 3.44 2.56 2.23 3 2.48
0.9 1.86 2.04 2.13 1.86 1.15 1.42 1.42 0.9 0.71 0.71 0.9 0.64 0.71 0.32 0.32 0.64 1.42 2.29 2.48 2.01 3.51 3.83 3.62 3.55 2.72 2.54 2.25 2.84 5.4 5.54 4.49 3.2 0.45 1.01 1.59 1.31 1.94 2.25 1.86 2.88 2.32 1.31 3.55 3.72 2.84 4.41 4.32 3.18 3.02 3 2.93 1.59 1.27 3 3.18 2.93 1.59 2.42 1.86 0.64 1.86 2.25 3.32 3.55 3.13 3.84 4.13 3.51 1.59 1.15 1.42 1.71 2.04 2.48 2.13 2.48 2.25 1.42 1.71 2.56 2.13 3.83 3.15 1.15 2.48 3.83 4.07 3.44 4.49 5.28 2.84 1.59 2.56 2.25 1.59 1.15 1.62 1.91 2.56 1.94 1.62 1.62 2.29 2.72 3.55 4.26 3.71 1.42 2.01 2.56
