194.4307	2.1654
181.3797	2.345
151.3168	2.6456
123.3177	2.5713
65.8168	2.7644
59.5423	4.4604
82.6239	4.6759
87.1274	2.9263
173.2624	3.6275
159.8271	3.489
126.0869	3.5033
59.2421	3.6335
75.4588	4.0033
104.7447	3.2431
169.2618	4.0963
193.3267	5.54
160.6746	2.6346
114.1682	3.9012
124.6123	4.1798
117.5707	4.2136
138.8308	4.9298
138.2464	4.7965
140.3853	4.8282
146.0966	4.8977
137.0571	5.0352
147.0674	4.8948
142.2082	4.6916
159.7331	4.7197
165.8307	4.5082
163.3087	4.3905
154.855	3.991
157.5047	3.7209
149.8202	3.8517
135.2357	3.8814
135.6804	4.2096
135.9106	4.079
131.0399	4.0115
126.7058	3.5641
124.9979	3.5052
109.3312	3.0425
90.7542	3.1292
81.9951	2.8592
96.1727	2.515
130.3246	2.9882
133.0064	3.1624
126.2169	3.1302
133.1985	3.4914
137.3312	3.4948
152.7919	3.6263
171.1127	3.145
175.999	2.65
174.611	2.6202
180.2968	2.2588
195.0985	2.019
209.6062	2.0512
217.3405	1.1923
159.5781	0.9032
125.2285	1.0503
98.9462	2.2332
102.2657	2.4341
120.1418	3.4647
142.8514	4.2862
159.1901	4.3814
176.7637	3.8569
166.4616	3.2401
148.1152	2.3631
153.5734	2.332
216.9655	2.8628
215.1208	2.8257
209.8184	2.4975
228.9309	2.2789
228.7585	1.8437
227.6278	1.3619
190.2095	1.1942
136.5595	1.5251
125.3376	1.0247
78.6199	1.1092
78.6389	1.0733
59.471	2.0207
67.6935	1.8031
52.9949	2.4773
54.7601	2.3239
41.5044	3.091
31.7078	3.429
27.5798	3.9864
31.1356	4.2846
43.472	3.943
44.0139	3.6346
57.6417	3.5704
73.929	3.7328
83.9439	4.344
85.6672	4.0123
93.782	3.9676
119.1537	3.6864
151.4688	4.2719
141.1127	3.6347
70.823	4.1363
64.3795	5.2473
63.0775	4.088
125.899	3.623
177.9639	5.0965
185.8763	4.9347
188.5164	4.4778
161.7659	3.3162
125.328	3.0921
115.5638	2.5736
104.1461	2.5921
105.4264	2.6767
91.4065	2.6461
81.7715	2.4746
57.995	3.0494
